id,title,brand,storage,ram,connectivity,size,generation,price_raw,price,condition,location,slug,link,shop_name,is_member,timestamp
6a5ee84de437d1321883f47e,Samsung Galaxy S10 FE 12/256GB,Samsung,256GB,12GB,WiFi / Standard,Unknown,Unknown,"Rs 144,990",144990,Brand New,Colombo,samsung-galaxy-s10-fe-12-256gb-for-sale-colombo-76,https://ikman.lk/en/ad/samsung-galaxy-s10-fe-12-256gb-for-sale-colombo-76,X Mobile - Liberty,True,1 month
6a5ee6c07c18bd8e7717c6ab,Samsung Galaxy S9 12GB 256GB,Samsung,256GB,12GB,WiFi / Standard,Unknown,Unknown,"Rs 203,990",203990,Brand New,Colombo,samsung-galaxy-s9-12gb-256gb-for-sale-colombo-790,https://ikman.lk/en/ad/samsung-galaxy-s9-12gb-256gb-for-sale-colombo-790,X Mobile - Liberty,True,1 month
6a5ee683d2c9993e91c83d88,Samsung Galaxy A11 8GB 128GB,Samsung,128GB,8GB,WiFi / Standard,Unknown,Unknown,"Rs 60,990",60990,Brand New,Colombo,samsung-galaxy-a11-8gb-128gb-for-sale-colombo-272,https://ikman.lk/en/ad/samsung-galaxy-a11-8gb-128gb-for-sale-colombo-272,X Mobile - Liberty,True,1 month
6a5ee6381bc50ce7f5cf3a39,Samsung Galaxy A11 4GB 64GB,Samsung,64GB,4GB,4G LTE / SIM,Unknown,Unknown,"Rs 45,990",45990,Brand New,Colombo,samsung-galaxy-a11-4gb-64gb-for-sale-colombo-287,https://ikman.lk/en/ad/samsung-galaxy-a11-4gb-64gb-for-sale-colombo-287,X Mobile - Liberty,True,1 month
6a5eab899bbf59517dfbd48a,Apple iPad Pro 11 inch (Used),Apple,Unknown,Unknown,WiFi / Standard,11 Inch,Unknown,"Rs 270,000",270000,Used,Gampaha,apple-i-pad-pro-11-inch-used-for-sale-gampaha,https://ikman.lk/en/ad/apple-i-pad-pro-11-inch-used-for-sale-gampaha,,False,1 month
6a5e6465a460cfdff87c254e,Samsung Galaxy A9+ Tablet,Samsung,Unknown,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 60,000",60000,Used,Colombo,original-samsung-a9-tablet-for-sale-colombo,https://ikman.lk/en/ad/original-samsung-a9-tablet-for-sale-colombo,,False,1 month
6a5e60fd6585aa5ec81b4e83,Blackview Tab 60 Pro,Blackview,Unknown,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 40,000",40000,Used,Nuwara Eliya,tab-60-pro-for-sale-nuwara-eliya,https://ikman.lk/en/ad/tab-60-pro-for-sale-nuwara-eliya,,False,1 month
6a5e5b3beee1785aa7b613d1,Blackview Tab 90,Blackview,Unknown,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 68,500",68500,Used,Kandy,blackview-tab-90-for-sale-kandy-6,https://ikman.lk/en/ad/blackview-tab-90-for-sale-kandy-6,,False,1 month
6a5e535cfc8c0133e6842423,Samsung Galaxy Tab A9+ 5G,Samsung,Unknown,Unknown,5G + WiFi,Unknown,Unknown,"Rs 68,000",68000,Used,Kurunegala,samsung-galaxy-tab-a9-5g-for-sale-kurunegala-1,https://ikman.lk/en/ad/samsung-galaxy-tab-a9-5g-for-sale-kurunegala-1,,False,1 month
6a5e43f40de0678999354aa4,Samsung Galaxy Tab S3,Samsung,Unknown,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 35,000",35000,Used,Colombo,samsung-galaxy-tab-s3-for-sale-colombo-2,https://ikman.lk/en/ad/samsung-galaxy-tab-s3-for-sale-colombo-2,,False,1 month
6a5dbbdbfa5c26413bd58faa,Blackview Tab 60 Pro,Blackview,Unknown,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 35,000",35000,Used,Colombo,black-view-used-for-sale-colombo-7,https://ikman.lk/en/ad/black-view-used-for-sale-colombo-7,,False,1 month
6a5e275e71fbc2066de69f22,Apple Ipad 5th Generation,Apple,Unknown,Unknown,WiFi / Standard,Unknown,5TH GEN,"Rs 35,000",35000,Used,Kalutara,wifi-and-cellular-for-sale-kalutara,https://ikman.lk/en/ad/wifi-and-cellular-for-sale-kalutara,,False,1 month
6a5e04050de0678999354920,Samsung Galaxy Tab S11 Ultra 12/256GB Wifi Cellular 5G,Samsung,256GB,12GB,5G + WiFi,Unknown,Unknown,"Rs 399,900",399900,Brand New,Colombo,samsung-galaxy-tab-s11-ultra-12-256gb-wifi-cellular-5g-for-sale-colombo,https://ikman.lk/en/ad/samsung-galaxy-tab-s11-ultra-12-256gb-wifi-cellular-5g-for-sale-colombo,Techmart Gadgetstore,True,1 month
6a5ded43ab5d00a8d68c77ee,Apple iPad Pro 4th Gen,Apple,Unknown,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 185,000",185000,Used,Kandy,i-pad-pro-11-inch-4th-generation-m2-space-gray-256-gb-for-sale-kandy,https://ikman.lk/en/ad/i-pad-pro-11-inch-4th-generation-m2-space-gray-256-gb-for-sale-kandy,,False,1 month
68b6c35eff39c2b6073473f6,Honor Pad X9A 16GB 256GB,Honor,256GB,Unknown,WiFi / Standard,Unknown,Unknown,"Rs 102,500",102500,Brand New,Gampaha,honor-pad-x9a-16gb-256gb-for-sale-gampaha-1,https://ikman.lk/en/ad/honor-pad-x9a-16gb-256gb-for-sale-gampaha-1,SS Mobile,True,1 month
6a5dddef777889562f9cbeb8,Apple iPad Pro M5 11 Inch 512GB Cell|001,Apple,512GB,Unknown,WiFi / Standard,11 Inch,Unknown,"Rs 529,990",529990,Brand New,Colombo,apple-ipad-pro-m5-11-inch-512gb-cell001-for-sale-colombo,https://ikman.lk/en/ad/apple-ipad-pro-m5-11-inch-512gb-cell001-for-sale-colombo,emobile.lk | EMOBILE (PVT) LTD,True,1 month
6a5ddc1a777889562f9cbea9,"Apple iPad Air8 11"" M4-chip 256GB Wifi Cellular",Apple,256GB,Unknown,4G LTE / SIM,11 Inch,M4,"Rs 359,900",359900,Brand New,Colombo,apple-ipad-air8-11-m4-chip-256gb-wifi-cellular-for-sale-colombo,https://ikman.lk/en/ad/apple-ipad-air8-11-m4-chip-256gb-wifi-cellular-for-sale-colombo,Techmart Gadgetstore,True,1 month
6a5ddd9fcb1e1a10165fc3a5,Apple iPad Pro M5 13 Inch WIFI 256GB,Apple,256GB,Unknown,WiFi Only,13 Inch,Unknown,"Rs 416,990",416990,Brand New,Colombo,apple-ipad-pro-m5-13-inch-wifi-256gb-for-sale-colombo-2,https://ikman.lk/en/ad/apple-ipad-pro-m5-13-inch-wifi-256gb-for-sale-colombo-2,emobile.lk | EMOBILE (PVT) LTD,True,1 month
6a5ddd5bd2d40f0d6c93ba91,Apple iPad Pro M5 13 Inch Cellular 256GB,Apple,256GB,Unknown,4G LTE / SIM,13 Inch,Unknown,"Rs 463,990",463990,Brand New,Colombo,apple-ipad-pro-m5-13-inch-cellular-256gb-for-sale-colombo-37,https://ikman.lk/en/ad/apple-ipad-pro-m5-13-inch-cellular-256gb-for-sale-colombo-37,emobile.lk | EMOBILE (PVT) LTD,True,1 month
