id,title,brand,processor,ram,storage,price_raw,price,condition,location,slug,link,shop_name,is_member,timestamp
6a6862872323a4d0f926df02,HP ELITEBOOK 850 G7 CORE I5 10TH GEN 8GB RAM 256GB SSD USED LAPTOP,Hp,CORE I5,8GB,256 SSD,"Rs 109,000",109000,Used,Colombo,hp-elitebook-850-g7-core-i5-10th-gen-8gb-ram-256gb-ssd-used-laptop-for-sale-colombo-8,https://ikman.lk/en/ad/hp-elitebook-850-g7-core-i5-10th-gen-8gb-ram-256gb-ssd-used-laptop-for-sale-colombo-8,Myitem.lk (PVT) Ltd,True,1 month
6a6861e8c79ba9c4fb710d8d,HP Elitebook 850 G7 - I5 10th Gen + 8GB RAM /256GB SSD -15 Inch -Laptop,Hp,I5,8GB,256 SSD,"Rs 108,000",108000,Used,Colombo,hp-elitebook-850-g7-i5-10th-gen-8gb-ram-256gb-ssd-15-inch-laptop-for-sale-colombo-3,https://ikman.lk/en/ad/hp-elitebook-850-g7-i5-10th-gen-8gb-ram-256gb-ssd-15-inch-laptop-for-sale-colombo-3,I MAC LK(PVT)LTD,True,1 month
6a6861764f60662089df1f56,Dell Latitude 5480 -Core i5 6th Gen- 8GB RAM 256GB SSD -14 Inch Laptop,Dell,CORE I5,8GB,256 SSD,"Rs 60,000",60000,Used,Colombo,dell-latitude-5480-core-i5-6th-gen-8gb-ram-256gb-ssd-14-inch-laptop-for-sale-colombo-43,https://ikman.lk/en/ad/dell-latitude-5480-core-i5-6th-gen-8gb-ram-256gb-ssd-14-inch-laptop-for-sale-colombo-43,I MAC LK (PVT) LTD,True,1 month
6a6861401307191f8be6d7de,Hp Elitebook 850 G8 -I7 11TH Gen - 8GB RAM /256GB SSD 15 Inch Laptop,Hp,I7,8GB,256 SSD,"Rs 135,000",135000,Used,Colombo,hp-elitebook-850-g8-i7-11th-gen-8gb-ram-256gb-ssd-15-inch-laptop-for-sale-colombo-3,https://ikman.lk/en/ad/hp-elitebook-850-g8-i7-11th-gen-8gb-ram-256gb-ssd-15-inch-laptop-for-sale-colombo-3,I MAC LK(PVT)LTD,True,1 month
6a686063092a23a0a726dee7,Dell Latitude 5420 - i5 11th Gen -256GB NVME -8GB RAM +14 Inch Laptop,Dell,I5,8GB,256 NVME,"Rs 97,000",97000,Used,Colombo,dell-latitude-5420-i5-11th-gen-256gb-nvme-8gb-ram-14-inch-laptop-for-sale-colombo-75,https://ikman.lk/en/ad/dell-latitude-5420-i5-11th-gen-256gb-nvme-8gb-ram-14-inch-laptop-for-sale-colombo-75,I MAC LK (PVT) LTD,True,1 month
6a685c0d4fd4dc27df5492ee,Dell laptop for parts,Dell,Unknown,Unknown,Unknown,"Rs 10,000",10000,Used,Anuradhapura,dell-laptop-for-parts-for-sale-anuradhapura-1,https://ikman.lk/en/ad/dell-laptop-for-parts-for-sale-anuradhapura-1,,False,1 month
6a685a58f034f51f321e716f,Dell Latitude 5520 - i5 11th Gen +8GB RAM /256GB NVME-15.6 Inch Laptop,Dell,I5,8GB,256 NVME,"Rs 109,999",109999,Used,Colombo,dell-latitude-5520-i5-11th-gen-8gb-ram-256gb-nvme-156-inch-laptop-for-sale-colombo-81,https://ikman.lk/en/ad/dell-latitude-5520-i5-11th-gen-8gb-ram-256gb-nvme-156-inch-laptop-for-sale-colombo-81,I MAC LK (PVT) LTD,True,1 month
6a6857604fd4dc27df5492bd,HP ZBook Firefly 14 G8 – Intel Core i5 11th GEN | 8GB RAM 256GB SSD,Hp,CORE I5,8GB,256 SSD,"Rs 107,990",107990,Used,Colombo,hp-zbook-firefly-14-g8-intel-core-i5-11th-gen-8gb-ram-256gb-ssd-for-sale-colombo-1,https://ikman.lk/en/ad/hp-zbook-firefly-14-g8-intel-core-i5-11th-gen-8gb-ram-256gb-ssd-for-sale-colombo-1,Lap.lk,True,1 month
6a6852484fd4dc27df549294,Dell Celeron 5th gen Laptop,Dell,CELERON,Unknown,Unknown,"Rs 22,000",22000,Used,Kandy,dell-celeron-5th-gen-laptop-for-sale-kandy,https://ikman.lk/en/ad/dell-celeron-5th-gen-laptop-for-sale-kandy,,False,1 month
6a68512931e3a05e0a04a9ce,Lenovo ThinkPad T14 Core i7 11th GEN 16GB RAM 256GB Nvme SSD Laptop,Lenovo,CORE I7,16GB,256 NVME,"Rs 139,000",139000,Used,Colombo,lenovo-thinkpad-t14-core-i7-11th-gen-16gb-ram-256gb-nvme-ssd-laptop-for-sale-colombo-23,https://ikman.lk/en/ad/lenovo-thinkpad-t14-core-i7-11th-gen-16gb-ram-256gb-nvme-ssd-laptop-for-sale-colombo-23, Laptop Market,True,1 month
6a6851214fd4dc27df549283,Gaming Laptop i7 7th Gen - GTX 1050 TI 4GB|16GB RAM|512GB NVME|Dell P65F,Dell,I7,16GB,512 NVME,"Rs 129,950",129950,Used,Kegalle,gaming-laptop-i7-7th-gen-gtx-1050-ti-4gb16gb-ram512gb-nvmedell-p65f-for-sale-kegalle,https://ikman.lk/en/ad/gaming-laptop-i7-7th-gen-gtx-1050-ti-4gb16gb-ram512gb-nvmedell-p65f-for-sale-kegalle,ShaTech Zone,True,1 month
6a685125287ae351891e70a3,Lenovo ideapad Gaming 3 Core i7 11th Gen RTX3050/4GB 16GB RAM|512GB NVMe,Lenovo,CORE I7,16GB,512 NVME,"Rs 209,000",209000,Used,Colombo,lenovo-ideapad-gaming-3-core-i7-11th-gen-rtx3050-4gb-16gb-ram512gb-nvme-for-sale-colombo-4,https://ikman.lk/en/ad/lenovo-ideapad-gaming-3-core-i7-11th-gen-rtx3050-4gb-16gb-ram512gb-nvme-for-sale-colombo-4, Laptop Market,True,1 month
6a6850b96737c4436c86e7fe,4GB ram/rom 1tb,Other,Unknown,4GB,Unknown,"Rs 38,000",38000,Used,Galle,4gb-ram-rom-1tb-for-sale-galle,https://ikman.lk/en/ad/4gb-ram-rom-1tb-for-sale-galle,,False,1 month
6a685002c94f3ffd3e4aaabd,"Laptop i5 10th Gen Dell Latitude 3410|8GB RAM|512GB NVME|Wi-Fi|15.6"" FHD",Dell,I5,8GB,512 NVME,"Rs 87,950",87950,Used,Colombo,laptop-i5-10th-gen-dell-latitude-34108gb-ram512gb-nvmewi-fi156-fhd-for-sale-colombo-1,https://ikman.lk/en/ad/laptop-i5-10th-gen-dell-latitude-34108gb-ram512gb-nvmewi-fi156-fhd-for-sale-colombo-1,ShaTech Zone,True,1 month
6a684f40287ae351891e708b,Dell Latitude 5440 - I5 13th Gen + With Box 8GB RAM /256GB SSD Laptop,Dell,I5,8GB,256 SSD,"Rs 155,000",155000,Used,Colombo,dell-latitude-5440-i5-13th-gen-with-box-8gb-ram-256gb-ssd-laptop-for-sale-colombo-10,https://ikman.lk/en/ad/dell-latitude-5440-i5-13th-gen-with-box-8gb-ram-256gb-ssd-laptop-for-sale-colombo-10,I MAC LK(PVT)LTD,True,1 month
6a6848e933de4ee5030a8d1d,HP Spectre x360,Hp,Unknown,Unknown,Unknown,"Rs 280,000",280000,Used,Jaffna,for-sale-for-sale-jaffna-777,https://ikman.lk/en/ad/for-sale-for-sale-jaffna-777,,False,1 month
6a6849e737e1718d1f0470b2,HP Elitebook 840 i5 8th Gen 8GB RAM 256GB SSD,Hp,I5,8GB,256 SSD,"Rs 68,500",68500,Used,Colombo,hp-elitebook-840-i5-8th-gen-8gb-ram-256gb-ssd-for-sale-colombo-11,https://ikman.lk/en/ad/hp-elitebook-840-i5-8th-gen-8gb-ram-256gb-ssd-for-sale-colombo-11,Ravi Computers,True,1 month
6a6849d3867dc3292304a90c,Lenovo i3 10th Gen,Lenovo,I3,Unknown,Unknown,"Rs 60,000",60000,Used,Kalutara,lenovo-i3-10th-gen-for-sale-kalutara,https://ikman.lk/en/ad/lenovo-i3-10th-gen-for-sale-kalutara,,False,1 month
6a684990f034f51f321e705c,DELL Latitude 5400/-i7 8th Gen 8GB RAM 256GB SSD,Dell,I7,8GB,256 SSD,"Rs 73,600",73600,Used,Colombo,dell-latitude-5400-i7-8th-gen-8gb-ram-256gb-ssd-for-sale-colombo-55,https://ikman.lk/en/ad/dell-latitude-5400-i7-8th-gen-8gb-ram-256gb-ssd-for-sale-colombo-55,Ravi Computers,True,1 month
6a6849540313f21ac0803653,DELL Latitude 5400/-i5 8th Gen 8GB RAM 256GB SSD,Dell,I5,8GB,256 SSD,"Rs 68,700",68700,Used,Colombo,dell-latitude-5400-i5-8th-gen-8gb-ram-256gb-ssd-for-sale-colombo-564,https://ikman.lk/en/ad/dell-latitude-5400-i5-8th-gen-8gb-ram-256gb-ssd-for-sale-colombo-564,Ravi Computers,True,1 month
6a6849204fd4dc27df54920d,Latitude 7410 i5 10th Gen UHD Graphics,Other,I5,Unknown,Unknown,"Rs 89,500",89500,Used,Colombo,latitude-7410-i5-10th-gen-uhd-graphics-for-sale-colombo,https://ikman.lk/en/ad/latitude-7410-i5-10th-gen-uhd-graphics-for-sale-colombo,OneStore,True,1 month
6a6849223c96c3ab774aaab6,Lenovo Thinkpad T490/-i5 8th Gen 8GB RAM 256GB/SSD,Lenovo,I5,8GB,Unknown,"Rs 62,600",62600,Used,Colombo,lenovo-thinkpad-t490-i5-8th-gen-8gb-ram-256gb-ssd-for-sale-colombo-76,https://ikman.lk/en/ad/lenovo-thinkpad-t490-i5-8th-gen-8gb-ram-256gb-ssd-for-sale-colombo-76,Ravi Computers,True,1 month
6a6848adb20808a12304a997,Dell Latitude E7470 i7 6th Gen 8GB RAM/-256GB SSD,Dell,I7,8GB,256 SSD,"Rs 63,700",63700,Used,Colombo,dell-latitude-e7470-i7-6th-gen-8gb-ram-256gb-ssd-for-sale-colombo-9,https://ikman.lk/en/ad/dell-latitude-e7470-i7-6th-gen-8gb-ram-256gb-ssd-for-sale-colombo-9,Ravi Computers,True,1 month
