id,title,brand,size,refresh_rate,resolution,panel_type,is_curved,is_gaming,is_frameless,price_raw,price,condition,location,slug,link,shop_name,is_member,timestamp
6a6b2430499378263b8dec2f,Koorui GN06 27″ FHD 1080P IPS Brand New Monitor,Other,27 Inch,60Hz,1080p FHD,IPS,False,False,False,"Rs 53,500",53500,Brand New,Colombo,koorui-gn06-27-fhd-1080p-ips-brand-new-monitor-for-sale-colombo-9,https://ikman.lk/en/ad/koorui-gn06-27-fhd-1080p-ips-brand-new-monitor-for-sale-colombo-9,I MAC LK(PVT)LTD,True,1 month
6a6c3c5c1efa97b730c2469c,"Samsung 24"" IPS Monitor",Samsung,24 Inch,60Hz,1080p FHD,IPS,False,False,False,"Rs 23,500",23500,Used,Jaffna,samsung-24-ips-monitor-for-sale-jaffna,https://ikman.lk/en/ad/samsung-24-ips-monitor-for-sale-jaffna,Pc Paradise,True,1 month
6a6c39c7c519ec01f022f747,24 Inch 1080p Monitor with Inbuilt Speakers,Other,24 Inch,60Hz,1080p FHD,Standard,False,False,False,"Rs 12,000",12000,Used,Colombo,24-inch-1080p-monitor-with-inbuilt-speakers-for-sale-colombo,https://ikman.lk/en/ad/24-inch-1080p-monitor-with-inbuilt-speakers-for-sale-colombo,,False,1 month
6a6c37e8532c49549160dbda,"Samsung 22"" IPS Monitor",Samsung,22 Inch,60Hz,1080p FHD,IPS,False,False,False,"Rs 18,000",18000,Used,Jaffna,samsung-22-ips-monitor-for-sale-jaffna,https://ikman.lk/en/ad/samsung-22-ips-monitor-for-sale-jaffna,Pc Paradise,True,1 month
6a6c33d90c0a936876e7c0bf,"HP - EliteDisplay E24 G4 24"" Inch Frameless IPS LED Monitor",HP,24 Inch,60Hz,1080p FHD,IPS,False,False,True,"Rs 26,500",26500,Used,Colombo,hp-elitedisplay-e24-g4-24-inch-frameless-ips-led-monitor-for-sale-colombo-7,https://ikman.lk/en/ad/hp-elitedisplay-e24-g4-24-inch-frameless-ips-led-monitor-for-sale-colombo-7,PC Cart Express Maharagama,True,1 month
6a6c33b536dcafb8d660db48,"HP - EliteDisplay E24 G4 24"" Inch Frameless IPS LED Monitor",HP,24 Inch,60Hz,1080p FHD,IPS,False,False,True,"Rs 26,500",26500,Used,Colombo,hp-elitedisplay-e24-g4-24-inch-frameless-ips-led-monitor-for-sale-colombo-6,https://ikman.lk/en/ad/hp-elitedisplay-e24-g4-24-inch-frameless-ips-led-monitor-for-sale-colombo-6,PC Cart Kesbewa ,True,1 month
6a6c33b31efa97b730c24607,"Acer EK271 27"" Inch 144Hz IPS HDMI Frameless Gaming Monitor",Acer,27 Inch,144Hz,HD,IPS,False,True,True,"Rs 35,990",35990,Brand New,Colombo,acer-ek271-27-inch-144hz-ips-hdmi-frameless-gaming-monitor-for-sale-colombo-77,https://ikman.lk/en/ad/acer-ek271-27-inch-144hz-ips-hdmi-frameless-gaming-monitor-for-sale-colombo-77,Computer Store.lk Pvt Ltd,True,1 month
6a6c3368532c49549160db86,"Acer EK251 P6BI 25"" Inch 144Hz IPS HDMI Frameless Gaming Monitor",Acer,25 Inch,144Hz,HD,IPS,False,True,True,"Rs 31,500",31500,Brand New,Colombo,acer-ek251-p6bi-25-inch-144hz-ips-hdmi-frameless-gaming-monitor-for-sale-colombo-41,https://ikman.lk/en/ad/acer-ek251-p6bi-25-inch-144hz-ips-hdmi-frameless-gaming-monitor-for-sale-colombo-41,Computer Store.lk Pvt Ltd,True,1 month
6a6c33103cf973971c3f6dc5,MSI Pro MP245PG E14 23.8″ INCH 144HZ 1MS FHD FRAMELESS MONITOR NEW,MSI,23 Inch,144Hz,1080p FHD,Standard,False,False,True,"Rs 47,500",47500,Brand New,Colombo,msi-pro-mp245pg-e14-238-inch-144hz-1ms-fhd-frameless-monitor-new-for-sale-colombo-14,https://ikman.lk/en/ad/msi-pro-mp245pg-e14-238-inch-144hz-1ms-fhd-frameless-monitor-new-for-sale-colombo-14,Computer Store.lk Pvt Ltd,True,1 month
6a6c329805c506573227b144,"MSI Pro MP243L E14 24.5"" Inch 144Hz 1ms FHD IPS Productivity Monitor",MSI,24.5 Inch,144Hz,1080p FHD,IPS,False,False,False,"Rs 33,500",33500,Brand New,Colombo,msi-pro-mp243l-e14-245-inch-144hz-1ms-fhd-ips-productivity-monitor-for-sale-colombo-19,https://ikman.lk/en/ad/msi-pro-mp243l-e14-245-inch-144hz-1ms-fhd-ips-productivity-monitor-for-sale-colombo-19,Computer Store.lk Pvt Ltd,True,1 month
6a6c3209076db4bcd627b135,"MSI PRO MP225 E12VL 21.5"" Inch 120Hz 1ms FHD Slim Frameless Monitor",MSI,21.5 Inch,120Hz,1080p FHD,Standard,False,False,True,"Rs 26,500",26500,Brand New,Colombo,msi-pro-mp225-e12vl-215-inch-120hz-1ms-fhd-slim-frameless-monitor-for-sale-colombo-22,https://ikman.lk/en/ad/msi-pro-mp225-e12vl-215-inch-120hz-1ms-fhd-slim-frameless-monitor-for-sale-colombo-22,Computer Store.lk Pvt Ltd,True,1 month
6a6c305b9b7fbb345460db6c,"Samsung 20"" VGA Monitor",Samsung,20 Inch,60Hz,Unknown,Standard,False,False,False,"Rs 13,500",13500,Used,Jaffna,samsung-20-vga-monitor-for-sale-jaffna,https://ikman.lk/en/ad/samsung-20-vga-monitor-for-sale-jaffna,Pc Paradise,True,1 month
6a6c2d6136dcafb8d660dad8,"MSI PRO MP243L E14 24.5"" Inch 144Hz 1ms FHD IPS Productivity Monitor",MSI,24.5 Inch,144Hz,1080p FHD,IPS,False,False,False,"Rs 33,500",33500,Brand New,Colombo,msi-pro-mp243l-e14-245-inch-144hz-1ms-fhd-ips-productivity-monitor-for-sale-colombo-18,https://ikman.lk/en/ad/msi-pro-mp243l-e14-245-inch-144hz-1ms-fhd-ips-productivity-monitor-for-sale-colombo-18,Myitem.lk (PVT) Ltd,True,1 month
