Title,Price,Location_Category,Link
DELL LATITUDE 5530 CORE I5 12TH GEN 8GB RAM 256GB SSD USED LAPTOP,"Rs 128,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5530-core-i5-12th-gen-8gb-ram-256gb-ssd-used-laptop-for-sale-colombo-9
laptop,"Rs 170,000","Matale, Computers & Tablets",https://ikman.lk/en/ad/laptop-for-sale-matale-305
HP 15 i3 12th Gen Laptop,"Rs 90,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/hp-15-i3-12th-gen-laptop-for-sale-gampaha
"Asus Tuf f15 laptop, RTX 3050, 1tb,16gb,i5 12th gen, used","Rs 200,000","Matara, Computers & Tablets",https://ikman.lk/en/ad/asus-tuf-f15-laptop-rtx-3050-1tb16gbi5-12th-gen-used-for-sale-matara
Brand New MSI Cyborg 15 Core 7-15th Gen|RTX 5060/8GB VGA Gaming Laptops,"Rs 439,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/brand-new-msi-cyborg-15-core-7-15th-genrtx-5060-8gb-vga-gaming-laptops-for-sale-colombo-1
Dell Lattitude I5 4th Gen Laptop,"Rs 36,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-lattitude-i5-4th-gen-for-sale-colombo
HP LAPTOP ZHAN 66Pro,"Rs 89,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-laptop-zhan-66pro-for-sale-colombo
HP LAPTOP ZHAN 66Pro,"Rs 89,500","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/hp-laptop-zhan-66pro-for-sale-gampaha
HP i3 5th Gen Laptop,"Rs 32,000","Galle, Computers & Tablets",https://ikman.lk/en/ad/ikmnin-vikiniimtt-for-sale-galle-217
HP 3 Mm Laptep Charger,"Rs 2,900","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-3-mm-laptep-charger-for-sale-colombo
laptop,"Rs 55,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/laptop-for-sale-colombo-5801
N/A,N/A,N/A,N/A
Dell Latitude 5520 Core i7 -1185G7 11th Gen |16GB RAM|512GB NVMe Laptop,"Rs 149,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5520-core-i7-1185g7-11th-gen-16gb-ram512gb-nvme-laptop-for-sale-colombo-2
HP Elitebook i5 8th gen Laptop,"Rs 48,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/elitebook-i5-8th-gen-for-sale-gampaha
