iter	Passed	Remaining
747	24397	1696
748	24427	1663
749	24459	1630
750	24492	1598
751	24525	1565
752	24555	1532
753	24585	1499
754	24616	1467
755	24645	1434
756	24675	1401
757	24703	1368
758	24734	1336
759	24769	1303
760	24799	1270
761	24828	1238
762	24867	1205
763	24897	1173
764	24926	1140
765	24955	1107
766	24985	1074
767	25015	1042
768	25045	1009
769	25076	977
770	25107	944
771	25136	911
772	25164	878
773	25193	846
774	25224	813
775	25256	781
776	25287	748
777	25317	715
778	25349	683
779	25381	650
780	25411	618
781	25441	585
782	25470	553
783	25501	520
784	25532	487
785	25561	455
786	25591	422
787	25623	390
788	25654	357
789	25684	325
790	25712	292
791	25741	260
792	25771	227
793	25801	194
794	25830	162
795	25859	129
796	25889	97
797	25919	64
798	25953	32
799	25984	0
