price_lkr,log_price_lkr,norm_model,vram_gb,brand,G3Dmark,G2Dmark,log_G3Dmark,fp32_gflops,memory_bandwidth_gb_s,shader_units,gpu_base_clock_mhz,boost_clock_mhz,tdp_watts,perf_score,perf_per_watt,release_year,gpu_age_years,architecture,model_number,series_family,gpu_generation,ti_variant,bench_match,spec_match
8900.0,9.093806555720231,GeForce GT 740,2.0,NVIDIA,1529.0,344.0,7.333023014386481,762.6,80.19,384.0,,,64.0,1529.0,23.890625,2014.0,12.0,Kepler,740.0,GT,1,0,GeForce GT 740,GeForce GT 740
5000.0,8.517193191416238,GTS 450,1.0,GIGABYTE,,,0.0,,,,,,,,,,,,450.0,GTS,1,0,,
4500.0,8.411832675758411,GTS 450,1.0,ASUS,,,0.0,,,,,,,,,,,,450.0,GTS,1,0,,
20500.0,9.9281801651265,GeForce GTX 1050,4.0,MSI,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
20500.0,9.9281801651265,GeForce GTX 1050,4.0,ZOTAC,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
21500.0,9.975808214115753,GeForce GTX 1050,4.0,MSI,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
22500.0,10.021270588192511,GeForce GTX 1050,4.0,ZOTAC,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
25500.0,10.146433731146518,GeForce GTX 1050,4.0,ZOTAC,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
19500.0,9.878169744551839,GeForce GTX 1050,3.0,ZOTAC,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
24500.0,10.106428396532818,GeForce GTX 1050,2.0,MSI,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
20500.0,9.9281801651265,GeForce GTX 1050,3.0,ASUS,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
25500.0,10.146433731146518,GeForce GTX 1050,2.0,ASUS,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
