Title,Price,Location_Category,Link,Brand,Condition,Description
TG 22 INCH FULL HD HDMI USED MONITOR ( without cables ),"Rs 12,500.00",MD Computers,https://mdcomputers.lk/product/tg-22-inch-full-hd-hdmi-used-monitor/,HKC,Used,BRAND – TGSCREEN SIZE – 22 INCHPANAL TYPE – LEDRESOLUTION – FULL HDPORT – HDMIWARRANTY – 03 MONTHWITHOUT CABLE
DELL P2414HB 24 INCH FULL HD IPS USED SILVER LINE MONITOR ( without cable ),"Rs 13,500.00",MD Computers,https://mdcomputers.lk/product/dell-24-inch-ips-used-monitor-p2414hb/,DELL,Used,"BRAND – DELLMODEL – P2414HBRESOLUTION – 1920×1080REFRESH RATE – 60Hz SCREEN SIZE – 24 INCHDISPLAY TYPE – IPSCONNECTIVITY – DVI, VGA, DP, USBWARRANTY – 03 MONTH WITHOUT CABLES"
DELL 23 INCH WIDE SCREEN IPS LED HDMI USED MONITOR ( without cable ),"Rs 14,000.00",MD Computers,https://mdcomputers.lk/product/23-inch-dell-wide-led-hdmi-used-monitor-p2317h/,DELL,Used,Brand – DellScreen Size – 243 InchesModel – p2317hbResolution – FHD 1080pAspect Ratio – 16:9Screen Surface Description – GlossyDP/HDMI/VGA/3X USB03 MONTH WARRANTYWITHOUT CABLES
DELL 24 INCH IPS HDMI USED MONITOR ( WITHOUT CABLES ),"Rs 15,000.00",MD Computers,https://mdcomputers.lk/product/dell-24-inch-wide-led-hdmi-used-monitor-p2417h/,DELL,Used,"brand – dellinch – 24 inchport – HDMI, DisplayPort, VGA 03 MONTH WARRANTY"
HP E232  – 23 INCH WIDE SCREEN IPS USED MONITOR ( without cables ),"Rs 12,500.00",MD Computers,https://mdcomputers.lk/product/hp-e232-23-inch-wide-screen-ips-used-monitor/,HP,Used,"BRAND – HPINCH – 23 INCHPANEL – IPSPORT – HDMI , DISPLAY PORT , VGAMODEL – E232REFRESH RATE – 1920 x 1080 FHD @ 60HzWITHOUT CABLES03 MONTH WARRANTY"
DELL P2314HT 23 INCH FULL HD IPS WIDE SCREEN USED MONITOR ( without cable ),"Rs 12,900.00",MD Computers,https://mdcomputers.lk/product/dell-p2314hc-23-inch-screen-led-lit-monitor/,DELL,Used,BRAND – DELLMODEL – P2314HTPANEL TYPE – IPSSCREEN SIZE – 23 INCHRESOLUTION – 1920 x 1080 (Full HD)REFRESH RATE – 60 HzCONNECTIVITY – DISPLAYPORTS / VGA / DVIWARRANTY – 03 MONTHWITHOUT CABLE
HP 22 INCH IPS FRAMLESS USED MONITOR  (WITHOUT CABLES ),"Rs 15,500.00",MD Computers,https://mdcomputers.lk/product/hp-22-inch-ips-framless-used-monitor-without-cables/,HP,Used,"BRAND – HPINCH – 22 INCHPANEL – IPSPORT – HDMI , DP , VGAMODEL – E22303 MONTH WARRANTY"
SAMSUNG 22 INCH IPS FRAMLESS – 75HZ USED MONITOR ( WITHOUT CABLE ),"Rs 16,000.00",MD Computers,https://mdcomputers.lk/product/samsung-22-inch-ips-framless-75hz-used-monitor-without-cable/,SAMSUNG,Used,BRAND – SAMSUNGMODEL – F22T450FQEDISPLAY SIZE – 22 INCHPANAL TYPE – FULL HD IPSRESOLUTION – 1920×1080REFRASH RATE – 75 HzWARRANTY – 03 MONTH
HP 23 INCH FULL HD IPS FRAMELESS USED MONITOR ( without cables ),"Rs 17,500.00",MD Computers,https://mdcomputers.lk/product/hp-23-inch-full-hd-ips-frameless-used-monitor-without-cables-2/,HP,Used,BRAND – HPMODEL – Z23NDISPLAY SIZE – 23 INCHPANAL TYPE – FULL HD IPSRESOLUTION – 1920×1080REFRASH RATE – 60 HzWARRANTY – 03 MONTHPORTS – HDMI / DP / VGA
HP 23 INCH Z23NG2 FULL HD IPS FRAMELESS USED MONITOR ( without cables ),"Rs 19,000.00",MD Computers,https://mdcomputers.lk/product/hp-23-inch-full-hd-ips-frameless-used-monitor-without-cables/,HP,Used,BRAND – HPMODEL – Z23NG2DISPLAY SIZE – 23 INCHPANAL TYPE – FULL HD IPSRESOLUTION – 1920×1080REFRASH RATE – 60 HzWARRANTY – 03 MONTHPORTS – HDMI / DP / VGA
