Brand,Vehicle_Type,Title,Fuel Type,Gear,Price,Year,Location,Mileage,Listing_URL
Toyota,Car,Toyota Allion 2003 Car,Petrol,Automatic,"Rs. 7,200,000",2003,Matale,"170,000 km",https://riyasewana.com/buy/toyota-allion-sale-matale-11983509
Honda,Car,Honda Civic Fk6 Techpack 2018 Car,Petrol,Automatic,Negotiable,2018,Colombo,"49,000 km",https://riyasewana.com/buy/honda-civic-fk6-sale-colombo-11983474
Toyota,Car,Toyota Yaris Apple Car Play 360 2025 Car,Petrol,Automatic,"Rs. 11,290,000",2025,Gampaha,"27,000 km",https://riyasewana.com/buy/toyota-yaris-apple-sale-gampaha-11983464
Suzuki,Car,Suzuki Alto K10 2016 Car,Petrol,Automatic,"Rs. 4,560,000",2016,Batticaloa,"111,000 km",https://riyasewana.com/buy/suzuki-alto-k10-sale-batticaloa-11983421
Audi,Car,Audi A4 2011 Car,Petrol,Automatic,Negotiable,2011,Kelaniya,"98,000 km",https://riyasewana.com/buy/audi-a4-sale-kelaniya-11983381
Mitsubishi,Car,Mitsubishi EK Wagon 2018 Car,Petrol,Automatic,"Rs. 6,275,000",2018,Kottawa,"107,500 km",https://riyasewana.com/buy/mitsubishi-ek-wagon-sale-kottawa-11983375
Suzuki,Car,Suzuki Wagon R 2014 Car,Petrol,Automatic,Negotiable,2014,Matara,"160,000 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-matara-11983353
Toyota,Car,Toyota Vitz 2018 Car,Petrol,Automatic,"Rs. 7,990,000",2018,Boralesgamuwa,"70,790 km",https://riyasewana.com/buy/toyota-vitz-sale-boralesgamuwa-11983354
Toyota,Car,Toyota Premio G Superior 2013 Car,Petrol,Automatic,"Rs. 12,700,000",2013,Ratnapura,"104,000 km",https://riyasewana.com/buy/toyota-premio-g-sale-ratnapura-11983304
Nissan,Car,Nissan March K12 2002 Car,Petrol,Automatic,"Rs. 3,345,000",2002,Nuwara-Eliya,"200,000 km",https://riyasewana.com/buy/nissan-march-k12-sale-nuwara-eliya-11983303
Toyota,Car,Toyota Premio 2018 Car,Petrol,Automatic,"Rs. 15,500,000",2018,Ragama,"176,000 km",https://riyasewana.com/buy/toyota-premio-sale-ragama-11983285
Toyota,Car,Toyota Yaris X 2025 Car,Petrol,Automatic,"Rs. 9,975,000",2025,Kandy,"9,000 km",https://riyasewana.com/buy/toyota-yaris-x-sale-kandy-11983279
Perodua,Car,Perodua Viva Elite 2010 Car,Petrol,Automatic,"Rs. 4,450,000",2010,Malabe,"113,000 km",https://riyasewana.com/buy/perodua-viva-elite-sale-malabe-11983271
Daihatsu,Car,Daihatsu Thor 2025 Car,Petrol,Automatic,"Rs. 10,295,000",2025,Kesbewa,"2,500 km",https://riyasewana.com/buy/daihatsu-thor-sale-kesbewa-11983236
Toyota,Car,Toyota Vios 2004 Car,Petrol,Automatic,"Rs. 5,550,000",2004,Kandy,"185,000 km",https://riyasewana.com/buy/toyota-vios-sale-kandy-11748461
Toyota,Car,Toyota Premio 2014 Car,Petrol,Automatic,"Rs. 11,900,000",2014,Kiribathgoda,"150,000 km",https://riyasewana.com/buy/toyota-premio-sale-kiribathgoda-11983202
Toyota,Car,Toyota Vitz 2019 Car,Petrol,Automatic,"Rs. 9,100,000",2019,Colombo,"84,000 km",https://riyasewana.com/buy/toyota-vitz-sale-colombo-11983190
Nissan,Car,Nissan Bluebird Sylphy 2003 Car,Petrol,Automatic,Negotiable,2003,Badulla,"190,000 km",https://riyasewana.com/buy/nissan-bluebird-sylphy-sale-badulla-11983183
Suzuki,Car,Suzuki S Presso 2019 Car,Petrol,Automatic,Negotiable,2019,Avissawella,"95,000 km",https://riyasewana.com/buy/suzuki-s-presso-sale-avissawella-11983180
Toyota,Car,Toyota Prius 2008 Car,Petrol,Automatic,"Rs. 6,450,000",2008,Matara,"179,523 km",https://riyasewana.com/buy/toyota-prius-sale-matara-11983120
Mini,Car,Mini Cooper 1960 Car,Petrol,Automatic,"Rs. 2,000,000",1960,Colombo,"168,000 km",https://riyasewana.com/buy/mini-cooper-sale-colombo-11983090
Toyota,Car,Toyota Corolla 121 2000 Car,Petrol,Automatic,"Rs. 5,300,000",2000,Kandy,"166,000 km",https://riyasewana.com/buy/toyota-corolla-121-sale-kandy-11983005
Daihatsu,Car,Daihatsu Mira 2023 Car,Petrol,Automatic,Negotiable,2023,Dankotuwa,"4,800 km",https://riyasewana.com/buy/daihatsu-mira-sale-dankotuwa-11982981
Audi,Car,Audi A4 2011 Car,Petrol,Automatic,"Rs. 11,800,000",2011,Colombo,"149,000 km",https://riyasewana.com/buy/audi-a4-sale-colombo-11982975
Kia,Car,Kia Cerato 2011 Car,Petrol,Automatic,Negotiable,2011,Nittambuwa,"124,000 km",https://riyasewana.com/buy/kia-cerato-sale-nittambuwa-11982942
BMW,Car,BMW 316i 2014 Car,Petrol,Automatic,"Rs. 16,500,000",2014,Galle,"135,000 km",https://riyasewana.com/buy/bmw-316i-sale-galle-11982829
Suzuki,Car,Suzuki Alto Japan 2000 Car,Petrol,Automatic,"Rs. 3,150,000",2000,Kesbewa,"138,000 km",https://riyasewana.com/buy/suzuki-alto-japan-sale-kesbewa-11982824
Suzuki,Car,Suzuki Wagon R Stingray 2018 Car,Petrol,Automatic,"Rs. 7,725,000",2018,Gampaha,"91,000 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-gampaha-11982744
Toyota,Car,Toyota Corolla 141 2008 Car,Petrol,Automatic,"Rs. 6,675,000",2008,Homagama,200 km,https://riyasewana.com/buy/toyota-corolla-141-sale-homagama-11982739
Toyota,Car,Toyota Vitz 2007 Car,Petrol,Automatic,Negotiable,2007,Kegalle,,https://riyasewana.com/buy/toyota-vitz-sale-kegalle-11982705
Suzuki,Car,Suzuki Alto Japan 2000 Car,Petrol,Automatic,"Rs. 3,150,000",2000,Kesbewa,"138,000 km",https://riyasewana.com/buy/suzuki-alto-japan-sale-kesbewa-11982681
Toyota,Car,Toyota Vitz 2009 Car,Petrol,Automatic,"Rs. 5,950,000",2009,Kandy,"177,500 km",https://riyasewana.com/buy/toyota-vitz-sale-kandy-11982654
Nissan,Car,Nissan Dayz X 2025 Car,Petrol,Automatic,"Rs. 7,950,000",2025,Dehiwala-Mt,,https://riyasewana.com/buy/nissan-dayz-x-sale-dehiwala-mount-lavinia-11510835
Suzuki,Car,Suzuki Wagon R FX 2024 Car,Petrol,Automatic,"Rs. 7,250,000",2024,Kaduwela,"12,500 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-kaduwela-11982627
Daihatsu,Car,Daihatsu TAFT 2023 Car,Petrol,Automatic,Negotiable,2023,Matara,"21,000 km",https://riyasewana.com/buy/daihatsu-taft-sale-matara-11982584
Toyota,Car,Toyota Vitz 2015 Car,Petrol,Automatic,"Rs. 7,375,000",2015,Boralesgamuwa,"67,958 km",https://riyasewana.com/buy/toyota-vitz-sale-boralesgamuwa-11982534
Toyota,Car,Toyota Vitz 2018 Car,Petrol,Automatic,"Rs. 8,500,000",2018,Negombo,"110,000 km",https://riyasewana.com/buy/toyota-vitz-sale-negombo-11982445
Nissan,Car,Nissan Laurel Medalist 2001 Car,Petrol,Automatic,"Rs. 6,000,000",2001,Colombo,"110,000 km",https://riyasewana.com/buy/nissan-laurel-medalist-sale-colombo-11982421
Toyota,Car,Toyota Vitz Safety Edition 2017 Car,Petrol,Automatic,"Rs. 7,750,000",2017,Dehiwala-Mt,"92,000 km",https://riyasewana.com/buy/toyota-vitz-safety-sale-dehiwala-mount-lavinia-11982306
Toyota,Car,Toyota Prius 2009 Car,Petrol,Automatic,"Rs. 8,500,000",2009,Katunayake,"175,000 km",https://riyasewana.com/buy/toyota-prius-sale-katunayake-11982264
Suzuki,Car,Suzuki Spacia 2015 Car,Petrol,Automatic,"Rs. 6,450,000",2015,Marawila,"190,500 km",https://riyasewana.com/buy/suzuki-spacia-sale-marawila-11982218
Nissan,Car,Nissan HB11 1985 Car,Petrol,Automatic,"Rs. 1,400,000",1985,Kurunegala,,https://riyasewana.com/buy/nissan-hb11-sale-kurunegala-11982146
Suzuki,Car,Suzuki Swift 2006 Car,Petrol,Automatic,"Rs. 4,390,000",2006,Mannar,"155,000 km",https://riyasewana.com/buy/suzuki-swift-sale-mannar-11982106
Toyota,Car,Toyota Axio 2007 Car,Petrol,Automatic,Negotiable,2007,Jaffna,"183,000 km",https://riyasewana.com/buy/toyota-axio-sale-jaffna-11982084
Suzuki,Car,Suzuki Wagon R 2014 Car,Petrol,Automatic,"Rs. 5,850,000",2014,Malabe,"165,000 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11981950
Daihatsu,Car,Daihatsu MIRA G 2024 Car,Petrol,Automatic,"Rs. 7,775,000",2024,Nittambuwa,"3,880 km",https://riyasewana.com/buy/daihatsu-mira-g-sale-nittambuwa-11981945
Toyota,Car,Toyota Carina Si MY ROAD 1999 Car,Petrol,Automatic,Negotiable,1999,Negombo,"210,000 km",https://riyasewana.com/buy/toyota-carina-si-sale-negombo-11981934
Toyota,Car,Toyota Vitz 2008 Car,Petrol,Automatic,"Rs. 5,550,000",2008,Matara,,https://riyasewana.com/buy/toyota-vitz-sale-matara-11981905
Perodua,Car,Perodua Viva Elite 2010 Car,Petrol,Automatic,"Rs. 4,390,000",2010,Homagama,"132,000 km",https://riyasewana.com/buy/perodua-viva-elite-sale-homagama-11981883
Nissan,Car,Nissan N16 2004 Car,Petrol,Automatic,"Rs. 4,190,000",2004,Panadura,"200,000 km",https://riyasewana.com/buy/nissan-n16-sale-panadura-11981871
Suzuki,Car,Suzuki SWIFT 2018 Car,Petrol,Automatic,Negotiable,2018,Colombo,"89,000 km",https://riyasewana.com/buy/suzuki-swift-sale-colombo-11981754
Toyota,Car,Toyota Corona At170 1988 Car,Petrol,Automatic,"Rs. 1,875,000",1988,Kurunegala,"123,456 km",https://riyasewana.com/buy/toyota-corona-at170-sale-kurunegala-11981736
Toyota,Car,Toyota Vitz 2015 Car,Petrol,Automatic,Negotiable,2015,Ampara,"103,000 km",https://riyasewana.com/buy/toyota-vitz-sale-ampara-11981728
Chevrolet,Car,Chevrolet Cruze 2007 Car,Petrol,Automatic,"Rs. 4,325,000",2007,Wattala,"160,000 km",https://riyasewana.com/buy/chevrolet-cruze-sale-wattala-11981653
Mitsubishi,Car,Mitsubishi EK Wagon 2023 Car,Petrol,Automatic,"Rs. 7,550,000",2023,Homagama,"6,000 km",https://riyasewana.com/buy/mitsubishi-ek-wagon-sale-homagama-11981617
Nissan,Car,Nissan Tiida 2007 Car,Petrol,Automatic,Negotiable,2007,Kalutara,"98,000 km",https://riyasewana.com/buy/nissan-tiida-sale-kalutara-11981614
Nissan,Car,Nissan N16 2000 Car,Petrol,Automatic,"Rs. 4,285,000",2000,Kurunegala,"165,000 km",https://riyasewana.com/buy/nissan-n16-sale-kurunegala-11981523
Mazda,Car,Mazda Demio 2008 Car,Petrol,Automatic,"Rs. 5,295,000",2008,Kadawatha,"117,000 km",https://riyasewana.com/buy/mazda-demio-sale-kadawatha-11981466
Toyota,Car,Toyota Belta 2009 Car,Petrol,Automatic,"Rs. 6,250,000",2009,Kalutara,"200,000 km",https://riyasewana.com/buy/toyota-belta-sale-kalutara-11981418
Daihatsu,Car,Daihatsu Mira 2017 Car,Petrol,Automatic,"Rs. 5,960,000",2017,Galle,,https://riyasewana.com/buy/daihatsu-mira-sale-galle-11981409
Suzuki,Car,Suzuki Wagon R Stingray J Style 2015 Car,Petrol,Automatic,"Rs. 6,550,000",2015,Mawanella,"99,000 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-mawanella-11981407
Ford,Car,Ford Titanium Eco Sport 2014 Car,Petrol,Automatic,"Rs. 1,075,000",2014,Kuliyapitiya,"85,000 km",https://riyasewana.com/buy/ford-titanium-eco-sale-kuliyapitiya-11981340
Suzuki,Car,Suzuki Alto Japan 2018 Car,Petrol,Automatic,Negotiable,2018,Matugama,"76,000 km",https://riyasewana.com/buy/suzuki-alto-japan-sale-matugama-11981333
Toyota,Car,Toyota 110 1997 Car,Petrol,Automatic,"Rs. 3,800,000",1997,Kuliyapitiya,,https://riyasewana.com/buy/toyota-110-sale-kuliyapitiya-11981257
Nissan,Car,Nissan Dayz X Limited 2024 Car,Petrol,Automatic,"Rs. 7,675,000",2024,Gampaha,"5,500 km",https://riyasewana.com/buy/nissan-dayz-x-sale-gampaha-11981239
Nissan,Car,Nissan March 2001 Car,Petrol,Automatic,Negotiable,2001,Kandy,"120,000 km",https://riyasewana.com/buy/nissan-march-sale-kandy-11981218
Toyota,Car,Toyota Corolla WXB Midnight Purple 2023 Car,Petrol,Automatic,"Rs. 17,500,000",2023,Colombo,"10,000 km",https://riyasewana.com/buy/toyota-corolla-wxb-sale-colombo-11981070
Toyota,Car,Toyota Vios 2003 Car,Petrol,Automatic,"Rs. 5,000,000",2003,Bentota,"167,754 km",https://riyasewana.com/buy/toyota-vios-sale-bentota-11981050
Audi,Car,Audi A1 2017 Car,Petrol,Automatic,"Rs. 9,000,000",2017,Kottawa,"126,000 km",https://riyasewana.com/buy/audi-a1-sale-kottawa-11980938
Toyota,Car,Toyota Vitz 2001 Car,Petrol,Automatic,"Rs. 3,950,000",2001,Pannala,"144,500 km",https://riyasewana.com/buy/toyota-vitz-sale-pannala-11980848
Perodua,Car,Perodua Viva Elite 2012 Car,Petrol,Automatic,"Rs. 4,750,000",2012,Bandarawela,"120,702 km",https://riyasewana.com/buy/perodua-viva-elite-sale-bandarawela-11980829
Suzuki,Car,Suzuki Swift Japan 2009 Car,Petrol,Automatic,"Rs. 5,975,000",2009,Eheliyagoda,1 km,https://riyasewana.com/buy/suzuki-swift-japan-sale-eheliyagoda-11980801
Honda,Car,Honda FIT Shuttle 2012 Car,Petrol,Automatic,"Rs. 8,300,000",2012,Dankotuwa,"320,000 km",https://riyasewana.com/buy/honda-fit-shuttle-sale-dankotuwa-11980792
Suzuki,Car,Suzuki Wagon R FX 2018 Car,Petrol,Automatic,"Rs. 6,550,000",2018,Kurunegala,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kurunegala-11980770
Toyota,Car,Toyota Corolla 121 2004 Car,Petrol,Automatic,"Rs. 6,500,000",2004,Dehiwala-Mt,"176,000 km",https://riyasewana.com/buy/toyota-corolla-121-sale-dehiwala-mount-lavinia-11980762
Toyota,Car,Toyota Allion 2002 Car,Petrol,Automatic,"Rs. 6,950,000",2002,Kilinochchi,"176,000 km",https://riyasewana.com/buy/toyota-allion-sale-kilinochchi-11980672
BMW,Car,BMW 528i 2011 Car,Petrol,Automatic,"Rs. 16,500,000",2011,Colombo,"159,000 km",https://riyasewana.com/buy/bmw-528i-sale-colombo-11980584
Honda,Car,Honda Civic EX 2018 Car,Petrol,Automatic,"Rs. 12,800,000",2018,Ambalangoda,"62,000 km",https://riyasewana.com/buy/honda-civic-ex-sale-ambalangoda-11980450
Toyota,Car,Toyota Premio 2018 Car,Petrol,Automatic,Negotiable,2018,Horana,"91,000 km",https://riyasewana.com/buy/toyota-premio-sale-horana-11980388
Toyota,Car,Toyota Premio 2012 Car,Petrol,Automatic,"Rs. 11,450,000",2012,Wennappuwa,"166,000 km",https://riyasewana.com/buy/toyota-premio-sale-wennappuwa-11980156
Nissan,Car,Nissan FB13 1992 Car,Petrol,Automatic,"Rs. 2,450,000",1992,Gampaha,"1,111 km",https://riyasewana.com/buy/nissan-fb13-sale-gampaha-11980155
Toyota,Car,Toyota Vitz 2007 Car,Petrol,Automatic,Negotiable,2007,Kegalle,"147,780 km",https://riyasewana.com/buy/toyota-vitz-sale-kegalle-11980114
Volkswagen,Car,Volkswagen Passat 2002 Car,Petrol,Automatic,"Rs. 3,700,000",2002,Nugegoda,"185,000 km",https://riyasewana.com/buy/volkswagen-passat-sale-nugegoda-11980086
Toyota,Car,Toyota Yaris G 2023 Car,Petrol,Automatic,"Rs. 9,750,000",2023,Malabe,"9,300 km",https://riyasewana.com/buy/toyota-yaris-g-sale-malabe-11980066
Toyota,Car,Toyota Allion 240 2005 Car,Petrol,Automatic,"Rs. 7,500,000",2005,Wennappuwa,"160,000 km",https://riyasewana.com/buy/toyota-allion-240-sale-wennappuwa-11980044
Nissan,Car,Nissan Bluebird Sylphy 2002 Car,Petrol,Automatic,"Rs. 4,700,000",2002,Galle,"155,000 km",https://riyasewana.com/buy/nissan-bluebird-sylphy-sale-galle-11978149
Micro,Car,Micro Panda 2018 Car,Petrol,Automatic,"Rs. 3,890,000",2018,Homagama,"52,175 km",https://riyasewana.com/buy/micro-panda-sale-homagama-11979967
Daihatsu,Car,Daihatsu Copen XPlay 2015 Car,Petrol,Automatic,"Rs. 6,350,000",2015,Dehiwala-Mt,"71,200 km",https://riyasewana.com/buy/daihatsu-copen-xplay-sale-dehiwala-mount-lavinia-11979960
Honda,Car,Honda Fit GD1 2007 Car,Petrol,Automatic,"Rs. 4,990,000",2007,Matara,"193,000 km",https://riyasewana.com/buy/honda-fit-gd1-sale-matara-11979886
Daihatsu,Car,Daihatsu Mira 2023 Car,Petrol,Automatic,Negotiable,2023,Kottawa,"26,000 km",https://riyasewana.com/buy/daihatsu-mira-sale-kottawa-11979878
Honda,Car,Honda ES8 RS Model 2000 Car,Petrol,Automatic,"Rs. 1,975",2000,Kottawa,"1,111 km",https://riyasewana.com/buy/honda-es8-rs-sale-kottawa-11979860
Mazda,Car,Mazda Familia 2001 Car,Petrol,Automatic,"Rs. 3,900,000",2001,Galle,"180,000 km",https://riyasewana.com/buy/mazda-familia-sale-galle-11979851
Toyota,Car,Toyota Aqua 2012 Car,Petrol,Automatic,Negotiable,2012,Matara,"105,000 km",https://riyasewana.com/buy/toyota-aqua-sale-matara-11979759
Toyota,Car,Toyota Vios 2008 Car,Petrol,Automatic,"Rs. 6,200,000",2008,Nittambuwa,"165,000 km",https://riyasewana.com/buy/toyota-vios-sale-nittambuwa-11979654
Toyota,Car,Toyota Premio G Superior 2017 Car,Petrol,Automatic,"Rs. 14,700,000",2017,Dehiwala-Mt,,https://riyasewana.com/buy/toyota-premio-g-sale-dehiwala-mount-lavinia-11979620
Nissan,Car,Nissan Cefiro 1995 Car,Petrol,Automatic,"Rs. 3,900,000",1995,Kalutara,"189,600 km",https://riyasewana.com/buy/nissan-cefiro-sale-kalutara-11979610
Toyota,Car,Toyota AXIO G GRADE 2009 Car,Petrol,Automatic,"Rs. 7,560,000",2009,Piliyandala,"266,000 km",https://riyasewana.com/buy/toyota-axio-g-sale-piliyandala-11979607
Toyota,Car,Toyota Vista SV30 1993 Car,Petrol,Automatic,"Rs. 3,575,000",1993,Gampaha,"123,000 km",https://riyasewana.com/buy/toyota-vista-sv30-sale-gampaha-11979568
Mazda,Car,Mazda Demio Japan 2007 Car,Petrol,Automatic,"Rs. 4,890,000",2007,Malabe,"190,000 km",https://riyasewana.com/buy/mazda-demio-japan-sale-malabe-11979469
Audi,Car,Audi A1 2017 Car,Petrol,Automatic,Negotiable,2017,Maharagama,"39,000 km",https://riyasewana.com/buy/audi-a1-sale-maharagama-11979459
Suzuki,Car,Suzuki Spacia 2016 Car,Petrol,Automatic,"Rs. 5,650,000",2016,Kalutara,"175,000 km",https://riyasewana.com/buy/suzuki-spacia-sale-kalutara-11979426
Mitsubishi,Car,Mitsubishi Lancer 2003 Car,Petrol,Automatic,Negotiable,2003,Galle,"180,000 km",https://riyasewana.com/buy/mitsubishi-lancer-sale-galle-11979420
Nissan,Car,Nissan March K12 2003 Car,Petrol,Automatic,"Rs. 3,580,000",2003,Mirigama,"153,000 km",https://riyasewana.com/buy/nissan-march-k12-sale-mirigama-11979415
Suzuki,Car,Suzuki Wagon R FX Safety 2017 Car,Petrol,Automatic,"Rs. 6,750,000",2017,Matugama,"95,000 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-matugama-11979405
Nissan,Car,Nissan FB15 2003 Car,Petrol,Automatic,"Rs. 4,990,000",2003,Kuliyapitiya,"167,000 km",https://riyasewana.com/buy/nissan-fb15-sale-kuliyapitiya-11979290
Nissan,Car,Nissan FB15 2002 Car,Petrol,Automatic,"Rs. 4,485,000",2002,Kalutara,"129,000 km",https://riyasewana.com/buy/nissan-fb15-sale-kalutara-11979271
Toyota,Car,Toyota Yaris G 2024 Car,Petrol,Automatic,"Rs. 10,600,000",2024,Colombo,"36,000 km",https://riyasewana.com/buy/toyota-yaris-g-sale-colombo-11979225
Micro,Car,Micro Trend 2012 Car,Petrol,Automatic,Negotiable,2012,Tangalle,"81,000 km",https://riyasewana.com/buy/micro-trend-sale-tangalle-11979209
Suzuki,Car,Suzuki Wagon R FZ 2016 Car,Petrol,Automatic,"Rs. 6,050,000",2016,Ragama,"89,000 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-ragama-11979147
Mercedes-Benz,Car,Mercedes-Benz E200 Kompressor 2003 Car,Petrol,Automatic,"Rs. 7,100,000",2003,Colombo,"180,000 km",https://riyasewana.com/buy/mercedes-benz-e200-kompressor-sale-colombo-11978894
Perodua,Car,Perodua Axia 2020 Car,Petrol,Automatic,"Rs. 7,175,000",2020,Colombo,"41,000 km",https://riyasewana.com/buy/perodua-axia-sale-colombo-11978857
Toyota,Car,Toyota Allion 2003 Car,Petrol,Automatic,"Rs. 6,600,000",2003,Kandy,"250,200 km",https://riyasewana.com/buy/toyota-allion-sale-kandy-11978790
Toyota,Car,Toyota Carina 1999 Car,Petrol,Automatic,"Rs. 5,500,000",1999,Eheliyagoda,,https://riyasewana.com/buy/toyota-carina-sale-eheliyagoda-11978721
Nissan,Car,Nissan Cedric Y31 2000 Car,Petrol,Automatic,"Rs. 5,900,000",2000,Ampara,"168,000 km",https://riyasewana.com/buy/nissan-cedric-y31-sale-ampara-11978689
Daihatsu,Car,Daihatsu Mira L 2025 Car,Petrol,Automatic,"Rs. 6,750,000",2025,Kurunegala,,https://riyasewana.com/buy/daihatsu-mira-l-sale-kurunegala-11978647
Toyota,Car,Toyota Belta G Grade 2012 Car,Petrol,Automatic,Negotiable,2012,Colombo,"21,000 km",https://riyasewana.com/buy/toyota-belta-g-sale-colombo-11978640
Nissan,Car,Nissan Sunny FB15 1999 Car,Petrol,Automatic,"Rs. 4,000,000",1999,Kurunegala,"190,000 km",https://riyasewana.com/buy/nissan-sunny-fb15-sale-kurunegala-11978603
Mercedes-Benz,Car,Mercedes-Benz C180 Limousine Edition 2016 Car,Petrol,Automatic,Negotiable,2016,Minuwangoda,"78,000 km",https://riyasewana.com/buy/mercedes-benz-c180-limousine-sale-minuwangoda-11978581
Mercedes-Benz,Car,Mercedes-Benz S350 W220 LWB 2003 Car,Petrol,Automatic,"Rs. 7,700,000",2003,Colombo,"174,000 km",https://riyasewana.com/buy/mercedes-benz-s350-w220-sale-colombo-11978408
Mercedes-Benz,Car,Mercedes-Benz C230 2006 Car,Petrol,Automatic,Negotiable,2006,Galle,"190,000 km",https://riyasewana.com/buy/mercedes-benz-c230-sale-galle-11978364
Toyota,Car,Toyota AXIO 2013 Car,Petrol,Automatic,"Rs. 9,000,000",2013,Ragama,180 km,https://riyasewana.com/buy/toyota-axio-sale-ragama-11978295
Toyota,Car,Toyota Starlet 1997 Car,Petrol,Automatic,"Rs. 3,400,000",1997,Kandy,"200,000 km",https://riyasewana.com/buy/toyota-starlet-sale-kandy-11978248
Daihatsu,Car,Daihatsu Mira G 2024 Car,Petrol,Automatic,"Rs. 7,250,000",2024,Moratuwa,"13,000 km",https://riyasewana.com/buy/daihatsu-mira-g-sale-moratuwa-11842624
Honda,Car,Honda City Fit Ariea 2003 Car,Petrol,Automatic,Negotiable,2003,Galle,"155,000 km",https://riyasewana.com/buy/honda-city-fit-sale-galle-11978202
Toyota,Car,Toyota Yaris 2024 Car,Petrol,Automatic,Negotiable,2024,Galle,"17,000 km",https://riyasewana.com/buy/toyota-yaris-sale-galle-11978129
Daihatsu,Car,Daihatsu Mira 2024 Car,Petrol,Automatic,"Rs. 7,390,000",2024,Kelaniya,"5,700 km",https://riyasewana.com/buy/daihatsu-mira-sale-kelaniya-11977982
Daihatsu,Car,Daihatsu Mira LSA3 0Km 2024 Car,Petrol,Automatic,"Rs. 6,850,000",2024,Gampaha,,https://riyasewana.com/buy/daihatsu-mira-lsa3-sale-gampaha-11977886
Toyota,Car,Toyota Vitz 2018 Car,Petrol,Automatic,"Rs. 8,700,000",2018,Galle,"15,000 km",https://riyasewana.com/buy/toyota-vitz-sale-galle-11977848
Daihatsu,Car,Daihatsu Mira X Limited Safety 2025 Car,Petrol,Automatic,"Rs. 7,290,000",2025,Dehiwala-Mt,8 km,https://riyasewana.com/buy/daihatsu-mira-x-sale-dehiwala-mount-lavinia-11826049
Daihatsu,Car,Daihatsu Mira XLTD SA3 2025 Car,Petrol,Automatic,"Rs. 6,990,000",2025,Gampaha,"16,460 km",https://riyasewana.com/buy/daihatsu-mira-xltd-sale-gampaha-11977816
Mazda,Car,Mazda 3 2006 Car,Petrol,Automatic,"Rs. 5,875,000",2006,Polonnaruwa,"168,000 km",https://riyasewana.com/buy/mazda-3-sale-polonnaruwa-11977790
Honda,Car,Honda Fit Shuttle 2017 Car,Petrol,Automatic,"Rs. 11,625,000",2017,Kandy,"149,000 km",https://riyasewana.com/buy/honda-fit-shuttle-sale-kandy-11977734
Toyota,Car,Toyota Vitz SCP90 RS 2008 Car,Petrol,Automatic,Negotiable,2008,Kilinochchi,"178,400 km",https://riyasewana.com/buy/toyota-vitz-scp90-sale-kilinochchi-11977728
Honda,Car,Honda Fit 2015 Car,Petrol,Automatic,"Rs. 8,375,000",2015,Dehiwala-Mt,"108,000 km",https://riyasewana.com/buy/honda-fit-sale-dehiwala-mount-lavinia-11935128
Toyota,Car,Toyota Premio 2019 Car,Petrol,Automatic,"Rs. 17,400,000",2019,Gampaha,"88,000 km",https://riyasewana.com/buy/toyota-premio-sale-gampaha-11977395
Daihatsu,Car,Daihatsu Mira Personal Import 2025 Car,Petrol,Automatic,"Rs. 6,850,000",2025,Kalutara,"3,000 km",https://riyasewana.com/buy/daihatsu-mira-personal-sale-kalutara-11713875
Toyota,Car,Toyota Yaris Personal Import 2024 Car,Petrol,Automatic,"Rs. 9,650,000",2024,Kalutara,"32,000 km",https://riyasewana.com/buy/toyota-yaris-personal-sale-kalutara-11747294
Toyota,Car,Toyota Roomy 2023 Car,Petrol,Automatic,"Rs. 9,250,000",2023,Minuwangoda,"19,500 km",https://riyasewana.com/buy/toyota-roomy-sale-minuwangoda-11977286
Toyota,Car,Toyota Roomy 2023 Car,Petrol,Automatic,"Rs. 9,750,000",2023,Minuwangoda,"14,000 km",https://riyasewana.com/buy/toyota-roomy-sale-minuwangoda-11977246
Suzuki,Car,Suzuki Wagon R 2025 Car,Petrol,Automatic,"Rs. 7,950,000",2025,Minuwangoda,"4,100 km",https://riyasewana.com/buy/suzuki-wagon-r-sale-minuwangoda-11977199
Toyota,Car,Toyota Yaris X 2023 Car,Petrol,Automatic,"Rs. 9,290,000",2023,Nugegoda,50 km,https://riyasewana.com/buy/toyota-yaris-x-sale-nugegoda-11820049
Daihatsu,Car,Daihatsu Taft G Dark Chrome Venture 2024 Car,Petrol,Automatic,"Rs. 8,750,000",2024,Nugegoda,300 km,https://riyasewana.com/buy/daihatsu-taft-g-sale-nugegoda-11820046
Daihatsu,Car,Daihatsu Tanto Spacia Model 2024 Car,Petrol,Automatic,"Rs. 9,190,000",2024,Nugegoda,400 km,https://riyasewana.com/buy/daihatsu-tanto-spacia-sale-nugegoda-11820042
Toyota,Car,Toyota Vitz 2008 Car,Petrol,Automatic,"Rs. 5,675,000",2008,Kalutara,"153,000 km",https://riyasewana.com/buy/toyota-vitz-sale-kalutara-11977132
