Brand,Vehicle_Type,Title,Fuel Type,Gear,Price,Year,Location,Mileage,Listing_URL
Toyota,Car,Toyota AA60 Carina 1986 Car,Petrol,Manual,"Rs. 1,250,000",1986,Minuwangoda,"185,000 km",https://riyasewana.com/buy/toyota-aa60-carina-sale-minuwangoda-12122995
Suzuki,Car,Suzuki Maruti 2007 Car,Petrol,Manual,Negotiable,2007,Polonnaruwa,"85,000 km",https://riyasewana.com/buy/suzuki-maruti-sale-polonnaruwa-12122988
Mitsubishi,Car,Mitsubishi Lancer 1985 Car,Petrol,Manual,"Rs. 1,050,000",1985,Minuwangoda,"185,000 km",https://riyasewana.com/buy/mitsubishi-lancer-sale-minuwangoda-12122987
Nissan,Car,Nissan FB13 Doctor Sunny Super Saloon 1990 Car,Petrol,Manual,"Rs. 2,190,000",1990,Kurunegala,1 km,https://riyasewana.com/buy/nissan-fb13-doctor-sale-kurunegala-12122959
Micro,Car,Micro MX7 2009 Car,Petrol,Manual,"Rs. 2,050,000",2009,Kandy,"128,632 km",https://riyasewana.com/buy/micro-mx7-sale-kandy-12122930
Suzuki,Car,Suzuki Maruti 2006 Car,Petrol,Manual,"Rs. 2,175,000",2006,Kurunegala,1 km,https://riyasewana.com/buy/suzuki-maruti-sale-kurunegala-12122927
Suzuki,Car,Suzuki Maruti 800 2011 Car,Petrol,Manual,"Rs. 2,500,000",2011,Colombo,"83,000 km",https://riyasewana.com/buy/suzuki-maruti-800-sale-colombo-12122923
Renault,Car,Renault KWID 2016 Car,Petrol,Manual,"Rs. 4,085,000",2016,Homagama,"142,800 km",https://riyasewana.com/buy/renault-kwid-sale-homagama-12122852
Perodua,Car,Perodua Viva Elite 2011 Car,Petrol,Manual,"Rs. 4,275,000",2011,Kandy,"120,000 km",https://riyasewana.com/buy/perodua-viva-elite-sale-kandy-12122849
Mitsubishi,Car,Mitsubishi LANCER CS3 2003 Car,Petrol,Manual,"Rs. 5,775,000",2003,Homagama,"180,600 km",https://riyasewana.com/buy/mitsubishi-lancer-cs3-sale-homagama-12122843
Nissan,Car,Nissan Sunny B310 1979 Car,Petrol,Manual,"Rs. 885,000",1979,Chilaw,"78,005 km",https://riyasewana.com/buy/nissan-sunny-b310-sale-chilaw-12122831
Mitsubishi,Car,Mitsubishi Lancer 1985 Car,Petrol,Manual,"Rs. 765,000",1985,Ambalangoda,"123,456 km",https://riyasewana.com/buy/mitsubishi-lancer-sale-ambalangoda-12122810
Suzuki,Car,Suzuki Maruti 2011 Car,Petrol,Manual,Negotiable,2011,Kegalle,1 km,https://riyasewana.com/buy/suzuki-maruti-sale-kegalle-12122799
Nissan,Car,Nissan MARCH K11 1996 Car,Petrol,Manual,"Rs. 3,175,000",1996,Homagama,"162,606 km",https://riyasewana.com/buy/nissan-march-k11-sale-homagama-12122798
Tata,Car,Tata Indigo 2004 Car,Petrol,Manual,"Rs. 1,870,000",2004,Kelaniya,"187,000 km",https://riyasewana.com/buy/tata-indigo-sale-kelaniya-12122754
Suzuki,Car,Suzuki Maruti 800 2010 Car,Petrol,Manual,Negotiable,2010,Marawila,"72,000 km",https://riyasewana.com/buy/suzuki-maruti-800-sale-marawila-12122753
Nissan,Car,Nissan Sunny FB14 Splend 1997 Car,Petrol,Manual,"Rs. 3,095,000",1997,Kandy,"21,511 km",https://riyasewana.com/buy/nissan-sunny-fb14-sale-kandy-12122719
Suzuki,Car,Suzuki Alto 2004 Car,Petrol,Manual,Negotiable,2004,Matara,"127,000 km",https://riyasewana.com/buy/suzuki-alto-sale-matara-12122706
Suzuki,Car,Suzuki Maruti 800 2010 Car,Petrol,Manual,"Rs. 2,450,000",2010,Minuwangoda,"82,000 km",https://riyasewana.com/buy/suzuki-maruti-800-sale-minuwangoda-12122702
Honda,Car,Honda Civic EG8 Ferio VTEC 1991 Car,Petrol,Manual,"Rs. 1,200,000",1991,Kaduwela,"259,000 km",https://riyasewana.com/buy/honda-civic-eg8-sale-kaduwela-12122701
Mitsubishi,Car,Mitsubishi Lancer Box 1983 Car,Petrol,Manual,"Rs. 595,000",1983,Gampaha,"58,452 km",https://riyasewana.com/buy/mitsubishi-lancer-box-sale-gampaha-12122674
Nissan,Car,Nissan FB12 Trad Sunny 1987 Car,Petrol,Manual,Negotiable,1987,Warakapola,16 km,https://riyasewana.com/buy/nissan-fb12-trad-sale-warakapola-12122643
Suzuki,Car,Suzuki Maruti 800 2007 Car,Petrol,Manual,"Rs. 2,390,000",2007,Malabe,"124,500 km",https://riyasewana.com/buy/suzuki-maruti-800-sale-malabe-12122631
Suzuki,Car,Suzuki Alto 2014 Car,Petrol,Manual,Negotiable,2014,Gampaha,"91,700 km",https://riyasewana.com/buy/suzuki-alto-sale-gampaha-12122623
Nissan,Car,Nissan FB13 1992 Car,Petrol,Manual,"Rs. 2,175,000",1992,Warakapola,"238,000 km",https://riyasewana.com/buy/nissan-fb13-sale-warakapola-12122607
Mazda,Car,Mazda DEMIO 1996 Car,Petrol,Manual,"Rs. 3,575,000",1996,Homagama,,https://riyasewana.com/buy/mazda-demio-sale-homagama-12122582
Suzuki,Car,Suzuki Liana 2004 Car,Petrol,Manual,"Rs. 3,450,000",2004,Gampaha,"280,000 km",https://riyasewana.com/buy/suzuki-liana-sale-gampaha-12122575
Suzuki,Car,Suzuki Alto 2012 Car,Petrol,Manual,"Rs. 3,025,000",2012,Maharagama,"160,000 km",https://riyasewana.com/buy/suzuki-alto-sale-maharagama-12122569
Toyota,Car,Toyota Corolla AE81 1984 Car,Petrol,Manual,Negotiable,1984,Matara,"100,000 km",https://riyasewana.com/buy/toyota-corolla-ae81-sale-matara-12122566
Suzuki,Car,Suzuki Alto 2016 Car,Petrol,Manual,"Rs. 4,300,000",2016,Hambantota,"108,000 km",https://riyasewana.com/buy/suzuki-alto-sale-hambantota-12122553
Suzuki,Car,Suzuki Alto 2015 Car,Petrol,Manual,"Rs. 4,100,000",2015,Kurunegala,1 km,https://riyasewana.com/buy/suzuki-alto-sale-kurunegala-12122539
Kia,Car,Kia Spectra 2004 Car,Petrol,Manual,"Rs. 2,175,000",2004,Panadura,"112,566 km",https://riyasewana.com/buy/kia-spectra-sale-panadura-12122535
Tata,Car,Tata Indigo Ecs 2011 Car,Petrol,Manual,"Rs. 2,275,000",2011,Kandy,"145,000 km",https://riyasewana.com/buy/tata-indigo-ecs-sale-kandy-12122516
Toyota,Car,Toyota Yaris 2008 Car,Petrol,Manual,"Rs. 5,500,000",2008,Avissawella,"150,000 km",https://riyasewana.com/buy/toyota-yaris-sale-avissawella-12122505
Suzuki,Car,Suzuki Maruti 800 2011 Car,Petrol,Manual,"Rs. 2,550,000",2011,Kandy,"124,000 km",https://riyasewana.com/buy/suzuki-maruti-800-sale-kandy-12122459
Kia,Car,Kia Cerato 2004 Car,Petrol,Manual,"Rs. 2,985,000",2004,Kalutara,"150,000 km",https://riyasewana.com/buy/kia-cerato-sale-kalutara-12122431
Mitsubishi,Car,Mitsubishi Colt 1981 Car,Petrol,Manual,"Rs. 750,000",1981,Hatton,"10,000 km",https://riyasewana.com/buy/mitsubishi-colt-sale-hatton-12122423
Mitsubishi,Car,Mitsubishi Lancer Box 1981 Car,Petrol,Manual,"Rs. 1,230,000",1981,Ratnapura,"81,000 km",https://riyasewana.com/buy/mitsubishi-lancer-box-sale-ratnapura-12122367
Nissan,Car,Nissan B12 Trad Sunny 1988 Car,Petrol,Manual,"Rs. 1,700,000",1988,Kurunegala,"192,000 km",https://riyasewana.com/buy/nissan-b12-trad-sale-kurunegala-12122339
Toyota,Car,Toyota Corolla CE100 1991 Car,Petrol,Manual,"Rs. 1,825,000",1991,Maharagama,"230,000 km",https://riyasewana.com/buy/toyota-corolla-ce100-sale-maharagama-12122332
Suzuki,Car,Suzuki Alto 800 2006 Car,Petrol,Manual,"Rs. 2,800,000",2006,Dompe,"121,000 km",https://riyasewana.com/buy/suzuki-alto-800-sale-dompe-12122308
Suzuki,Car,Suzuki Maruti 2012 Car,Petrol,Manual,Negotiable,2012,Minuwangoda,"55,400 km",https://riyasewana.com/buy/suzuki-maruti-sale-minuwangoda-12122301
Tata,Car,Tata Twist X M 2015 Car,Petrol,Manual,"Rs. 1,925,000",2015,Gampaha,"170,000 km",https://riyasewana.com/buy/tata-twist-x-sale-gampaha-12122290
