title,Brand_Cleaned,Size_Inches,Refresh_Rate_Hz,Resolution_Cleaned,Panel_Type,Is_Curved,Is_Gaming,Is_Frameless,Condition_Cleaned,Location_Cleaned,Price_Cleaned
Koorui G2711P FHD IPS 27INCH 200HZ Brand New Gaming Monitor,Other,27.0,200.0,1080p FHD,IPS,0,1,0,Brand New,Colombo,51500.0
Lenovo T24i – 10 Frameless 24 Inch Used Monitor Full HD (1080p),Lenovo,24.0,60.0,1080p FHD,Standard,0,0,1,Used,Colombo,21000.0
SAMSUNG 32 INCH IPS HDMI 2K USED MONITOR,Samsung,32.0,60.0,2K QHD,IPS,0,0,0,Brand New,Colombo,39000.0
"Koorui E2721H 27 INCH QHD 2K 1440P 120Hz IPS GAMING MONITOR 27""",Other,27.0,120.0,2K QHD,IPS,0,1,0,Brand New,Colombo,52000.0
Koorui G2411P 24 Inch IPS FHD 200Hz Gaming Monitor,Other,24.0,200.0,1080p FHD,IPS,0,1,0,Brand New,Colombo,39000.0
Acer 27 \Inch Brandnew Monitors (144Hz).,Acer,27.0,144.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,37500.0
Koorui E2411K 24 INCH 144HZ IPS FHD Brand New Monitor,Other,24.0,144.0,1080p FHD,IPS,0,1,0,Brand New,Colombo,33000.0
Asus Monitors,Asus,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,8000.0
Dell P2719H 27″ Full HD IPS Frameless Professional Monitor,Dell,27.0,60.0,1080p FHD,IPS,0,0,1,Brand New,Colombo,30000.0
"Koorui E2212H 100HZ 21.5 Inches FHD Brand New Monitor 22""",Other,21.5,100.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,25500.0
"Dell Monitor 23""",Dell,23.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,10500.0
HP Z24n 24-inch professional frameless monitor,HP,24.0,60.0,1080p FHD,Standard,0,0,1,Used,Colombo,21000.0
"A+ Grade HP EliteDisplay E232 – 23"" Full HD IPS Monitor",HP,23.0,60.0,1080p FHD,IPS,0,0,0,Used,Colombo,15500.0
"Lenovo Thinkvision 24"" 2K Monitor",Lenovo,24.0,60.0,2K QHD,Standard,0,0,0,Used,Colombo,21000.0
"MSI PRO MP225 E12VL 21.5"" Inch 120Hz 1ms FHD Slim Frameless Monitor",MSI,21.5,120.0,1080p FHD,Standard,0,1,1,Brand New,Colombo,26500.0
"Dell UltraSharp U2417H IPS Full HD Frameless USED Monitor 24""",Dell,24.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,21500.0
laptop prology screen extender,Other,24.0,60.0,1080p FHD,Standard,0,0,0,Brand New,Colombo,149990.0
"Acer 27"" Full HD Nitro Gaming Monitor - KG273 W3 240Hz Brand New",Acer,27.0,240.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,48500.0
"Falcon HS185 WIDE LED HD Monitor brand New 18.5""",Other,18.5,60.0,HD,Standard,0,0,0,Brand New,Colombo,19500.0
"ViewSonic VA2214-H BRAND NEW IPS FULL HD MONITOR 22""",Viewsonic,22.0,60.0,1080p FHD,IPS,0,0,0,Brand New,Colombo,28490.0
"24"" Inch DELL Frameless IPS Monitor (Full HD)",Dell,24.0,60.0,1080p FHD,IPS,0,0,1,Brand New,Colombo,21500.0
HP N220H 21.5 INCH MONITOR JAPAN Model,HP,21.5,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,9500.0
Philips 226E9Q 22 INCH FRAMELESS MONITOR JAPAN Model,Philips,22.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,16500.0
Dell E2318H 23” LED Monitor Japan,Dell,23.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,12500.0
Philips 226E9Q 22 INCH FRAMELESS MONITOR JAPAN,Philips,22.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,16500.0
Acer V226HQL 21.5” LED Monitor Japan,Acer,21.0,60.0,HD,Standard,0,0,0,Used,Colombo,14999.0
ASUS VG259 24.5 INCH GAMING MONITOR JAPAN,Asus,24.5,60.0,1080p FHD,Standard,0,1,0,Used,Colombo,16500.0
EIZO FlexScan EV2116W 21.5” Monitor Japan Model,Other,21.0,60.0,HD,Standard,0,0,0,Used,Colombo,9500.0
Dell P2412Hb 24” Full HD LED Monitor Japan,Dell,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,11500.0
HKC 32 Inch Monitor (2k 144hz),Other,32.0,144.0,2K QHD,Standard,0,1,0,Used,Colombo,52500.0
Used Samsung 19' Square Monitor,Samsung,19.0,60.0,HD,Standard,0,0,0,Used,Colombo,5000.0
"Samsung F24T350FHE 24"" Monitor",Samsung,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Kandy,20000.0
Dell 24” ips frameless Monitor,Dell,24.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,19900.0
Dell 27-Inch Monitor,Dell,27.0,60.0,1080p FHD,Standard,0,0,0,Used,Anuradhapura,32000.0
"HKC 32"" CURVED 144Hz (2k) GAMING MONITOR",Other,32.0,144.0,2K QHD,Standard,1,1,0,Used,Other,55900.0
Philips 240B4Q 24 inch IPS Monitor Japan,Philips,24.0,60.0,1080p FHD,IPS,0,0,0,Used,Colombo,12500.0
ASUS VG259 24.5 INCH GAMING MONITOR JAPAN,Asus,24.5,60.0,1080p FHD,Standard,0,1,0,Used,Colombo,28500.0
Lenovo ThinkVision E2323 23” LED Monitor Japan,Lenovo,23.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,8500.0
HP V242 24” Full HD LED Monitor | VGA & DVI Japan,HP,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,8500.0
27 INCH LENOVO THINKVISION IPS FHD HDMI USED MONITOR,Lenovo,27.0,60.0,1080p FHD,IPS,0,0,0,Used,Colombo,27500.0
27 INCH ATEC FULL HD LED USED MONITOR,Other,27.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,21500.0
24 INCH HP P240VA FULL HD USED MONITOR,HP,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,15500.0
SAMSUNG 24 INCH IPS FRAMLESS – 75HZ USED MONITOR,Samsung,24.0,75.0,1080p FHD,IPS,0,0,0,Used,Colombo,22000.0
"Lenovo ThinkVision 23"" FHD LED LCD Monitor Used",Lenovo,23.0,60.0,1080p FHD,Standard,0,0,0,Used,Gampaha,10000.0
27 Inch LED HDMI Monitors Used,Other,27.0,60.0,HD,Standard,0,0,0,Used,Gampaha,18500.0
22 Inch Led monitors Used,Other,22.0,60.0,1080p FHD,Standard,0,0,0,Used,Gampaha,12500.0
24 INCH DELL P2422HE IPS FRAMELESS USED TYPE-C FHD MONITOR,Dell,24.0,60.0,1080p FHD,IPS,0,0,1,Brand New,Colombo,27500.0
30 INCH DELL ULTRASHARP IPS HDMI USED MONITOR,Dell,30.0,60.0,HD,IPS,0,0,0,Brand New,Colombo,34500.0
SAMSUNG 32 INCH IPS HDMI 2K USED MONITOR,Samsung,32.0,60.0,2K QHD,IPS,0,0,0,Brand New,Colombo,39000.0
"24"" LED|WIDE Monitor with Soundbar Speaker",Other,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Gampaha,13950.0
"MONITOR 24"" 120HZ IPS (BRAND NEW) FHD|FRAMELESS - ASUS",Asus,24.0,120.0,1080p FHD,IPS,0,1,1,Brand New,Gampaha,33950.0
FALCON – 19” INCH LED+HDMI BRAND NEW MONITOR ( 2 YEARS WARRANTY ),Other,19.0,60.0,HD,Standard,0,0,0,Brand New,Colombo,17000.0
ASUS TUF VG249Q3R 23.8” INCH FHD IPS 180Hz 1ms Amd Freesync FRAMELESS,Asus,23.0,180.0,1080p FHD,IPS,0,1,1,Brand New,Colombo,44300.0
DAHUA DHI-LM27-E231 27” FHD IPS 165Hz GAMING MONITOR,Other,27.0,165.0,1080p FHD,IPS,0,1,0,Brand New,Colombo,43000.0
KOORUI 25″ G2511P 200Hz IPS FHD HDR400 BRAND NEW MONITOR,Other,25.0,200.0,1080p FHD,IPS,0,1,0,Brand New,Colombo,39000.0
ASUS VP227HF 22 INCH LED EYE CARE 100Hz GAMING MONITOR,Asus,22.0,100.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,27000.0
MSI PRO MP225 E12VL 21.5″ Inch 120Hz 1ms FHD ULTRA SLIM FRAMLESS MONITOR,MSI,21.0,120.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,27000.0
FALCON 17INCH SQUARE LED HDMI MONITOR,Other,17.0,60.0,HD,Standard,0,0,0,Brand New,Colombo,10500.0
"HP 23"" IPS Frameless",HP,23.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,10000.0
LED Monitor 19inch,Other,19.0,60.0,HD,Standard,0,0,0,Used,Kalutara,5000.0
21” Dell Monitor,Dell,21.0,60.0,HD,Standard,0,0,0,Used,Galle,7000.0
ViewSonic 22 Inch VA2209 - 2 Monitors,Viewsonic,22.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,19000.0
"MONITOR 24"" IPS FRAMELESS (1980 x 1080P) FHD|HDMI",Other,24.0,60.0,1080p FHD,IPS,0,0,1,Used,Gampaha,21150.0
Acer 27 Inch Brandnew Monitors (144Hz),Acer,27.0,144.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,37500.0
Alphascan 24 Inch Monitor,Other,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,13990.0
27 Inch Monitor,Other,27.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,17450.0
Hp 24 Inch Monitor,HP,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,12450.0
MSI Optix MAG251RX,MSI,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Gampaha,39000.0
Dell 19 Inch LCD Monitor,Dell,19.0,60.0,HD,Standard,0,0,0,Used,Colombo,7500.0
HP 24 Inch IPS Frameless Monitor,HP,24.0,60.0,1080p FHD,IPS,0,0,1,Used,Anuradhapura,21000.0
HP Z23n G2 23” IPS Full HD Monitor | HDMI DisplayPort VGA,HP,23.0,60.0,1080p FHD,IPS,0,0,0,Used,Colombo,18500.0
Dell E2211HB 22” LED Monitor (Black) Japan,Dell,22.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,8500.0
HP Z24i 24” IPS Professional Monitor Japan,HP,24.0,60.0,1080p FHD,IPS,0,0,0,Used,Colombo,13500.0
HP P232 23 INCH FULL HD MONITOR JAPAN,HP,23.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,12500.0
Lenovo T2254A 22 INCH FULL HD MONITOR JAPAN,Lenovo,22.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,7999.0
Monitor,Other,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Gampaha,5500.0
KOORUI 27INCH GAMING MONITOR (144HZ),Other,27.0,144.0,1080p FHD,Standard,0,1,0,Brand New,Kandy,39999.0
"Monitor with Soundbar Speaker - 24"" Wide|LED",Other,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Gampaha,13950.0
"24"" IPS MONITOR 120HZ (BRAND NEW) ASUS - FHD|FRAMELESS",Asus,24.0,120.0,1080p FHD,IPS,0,1,1,Brand New,Gampaha,33950.0
"HP EliteDisplay E232 – 23"" Full HD IPS Monitor",HP,23.0,60.0,1080p FHD,IPS,0,0,0,Used,Colombo,14500.0
"24"" IPS MONITOR FRAMELESS (1980 x 1080P) FHD|HDMI",Other,24.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,21150.0
LED / LCD Monitors | IPS HDMI VGA,Other,24.0,60.0,HD,IPS,0,0,0,Used,Gampaha,7500.0
Lenovo C24-20 Inch VA HDMI FULL HD FRAMLESS USED MONITOR,Lenovo,20.0,60.0,1080p FHD,VA,0,0,0,Used,Colombo,20500.0
"27"" IPS MONITOR FRAMELESS (1980 x 1080P) ULTRA SLIM|FHD|HDMI",Other,27.0,60.0,1080p FHD,IPS,0,0,1,Used,Gampaha,33850.0
"MONITOR 23"" IPS (1980 x 1080P) FHD|HDMI|FRAMELESS",Other,23.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,19450.0
23 INCH HP ELITE E230T IPS TOUCH SCREEN USED MONITOR,HP,23.0,60.0,1080p FHD,IPS,0,0,0,Used,Colombo,38500.0
30 INCH DELL ULTRASHARP IPS HDMI USED MONITOR,Dell,30.0,60.0,HD,IPS,0,0,0,Used,Colombo,34500.0
27 Inch Dell P2714HC IPS LED Used Monitor,Dell,27.0,60.0,1080p FHD,IPS,0,0,0,Used,Colombo,28000.0
24 INCH DELL P2422HE IPS FRAMELESS USED TYPE-C FHD MONITOR,Dell,24.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,27500.0
27 Inch Lenovo Thinkvision Ips FHD HDMI Used Monitor,Lenovo,27.0,60.0,1080p FHD,IPS,0,0,0,Used,Colombo,27500.0
24 INCH DELL ULTRASHARP U2419H FULL HD IPS FRAMELESS USED MONITOR,Dell,24.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,22500.0
"Lenovo ThinkVision P24h-10 IPS 2K QHD 1440P FRAMELESS USED MONITOR 24""",Lenovo,24.0,60.0,2K QHD,IPS,0,0,1,Used,Colombo,28500.0
27 INCH ATEC FULL HD LED USED MONITOR,Other,27.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,21500.0
"Lenovo ThinkVision T24i-30 USED IPS HDMI MONITOR 24""",Lenovo,24.0,60.0,HD,IPS,0,0,0,Used,Colombo,21000.0
HP Z24n 24-inch professional frameless monitor,HP,24.0,60.0,1080p FHD,Standard,0,0,1,Used,Colombo,21000.0
Dell P2722H 27″ Full HD IPS Frameless Professional Monitor,Dell,27.0,60.0,1080p FHD,IPS,0,0,1,Brand New,Colombo,30000.0
"Dell 23"" INCH (P2319H) Frameless Full HD IPS LED Monitor",Dell,23.0,60.0,1080p FHD,IPS,0,0,1,Brand New,Colombo,19499.0
22’’ Wide Led Monitor,Other,22.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,10900.0
20’’ Wide Lcd Monitor,Other,20.0,60.0,HD,Standard,0,0,0,Used,Colombo,8900.0
Koorui 22inch Frameless Monitor,Other,22.0,60.0,1080p FHD,Standard,0,0,1,Used,Gampaha,21000.0
Brandnew Acer 27- Inch Monitors (144Hz),Acer,27.0,144.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,37500.0
"Acer EK251 P6BI 25"" Inch 144Hz IPS HDMI Frameless Gaming Monitor",Acer,25.0,144.0,1080p FHD,IPS,0,1,1,Brand New,Colombo,31500.0
Brand New Acer Vero Series CB272 P6BMIPRX 144HZ Full HD Monitor,Acer,24.0,144.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,44990.0
"HP EliteDisplay E222 USED IPS MONITOR FULL HD 22""",HP,22.0,60.0,1080p FHD,IPS,0,0,0,Used,Colombo,14500.0
"HP EliteDisplay E202 USED HD+ IPS MONITOR 20""",HP,20.0,60.0,HD,IPS,0,0,0,Used,Colombo,13500.0
"Dell UltraSharp U2417H IPS Ful HD Frameless Monitor 24""",Dell,24.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,22000.0
"Gateway 19"" Monitor - Parts Only",Other,19.0,60.0,HD,Standard,0,0,0,Used,Kandy,3500.0
"Dahua 22"" inch full hd wide angle monitor Model cctv DHI-LM22-A200",Other,22.0,60.0,1080p FHD,Standard,0,0,0,Brand New,Colombo,22500.0
24 inch Dell Monitor,Dell,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Gampaha,12500.0
Lenovo Monitor,Lenovo,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Anuradhapura,27000.0
Asus Monitor,Asus,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Colombo,7500.0
MSI MAG 321CQF E18 32'' (2560 x 1440) 180Hz Curved Gaming Monitor 🖥,MSI,32.0,180.0,1080p FHD,Standard,1,1,0,Used,Kalutara,90000.0
"19"" Square Monitor",Other,19.0,60.0,HD,Standard,0,0,0,Used,Colombo,6900.0
"23"" IPS MONITOR (1980 x 1080P) FHD|HDMI|FRAMELESS",Other,23.0,60.0,1080p FHD,IPS,0,0,1,Used,Gampaha,19450.0
"MONITOR 27"" IPS FRAMELESS (1980 x 1080P) ULTRA SLIM|FHD|HDMI",Other,27.0,60.0,1080p FHD,IPS,0,0,1,Used,Gampaha,33850.0
"Samsung 24"" Inch Full HD IPS Frameless HDMI Gaming Used Monitor",Samsung,24.0,60.0,1080p FHD,IPS,0,1,1,Used,Colombo,22000.0
"HP EliteDisplay E202 USED HD+ IPS MONITOR 20""",HP,20.0,60.0,HD,IPS,0,0,0,Used,Colombo,13500.0
"Dell UltraSharp U2417H IPS Full HD Frameless USED Monitor 24""",Dell,24.0,60.0,1080p FHD,IPS,0,0,1,Used,Colombo,21500.0
"MSI PRO MP225 E12VL 21.5"" Inch 120Hz 1ms FHD Slim Frameless Monitor",MSI,21.5,120.0,1080p FHD,Standard,0,1,1,Brand New,Colombo,26500.0
"Used Dell 24"" Inch Ips Monitor",Dell,24.0,60.0,1080p FHD,IPS,0,0,0,Used,Colombo,15000.0
"Acer EK251 P6BI 25"" Inch 144Hz IPS HDMI Frameless Gaming & Monitor",Acer,25.0,144.0,1080p FHD,IPS,0,1,1,Brand New,Colombo,31500.0
"24"" Wide|LED Monitor with Soundbar Speaker",Other,24.0,60.0,1080p FHD,Standard,0,0,0,Used,Gampaha,13950.0
"27"" Acer Nitro KG3 Gaming Monitor",Acer,27.0,60.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,40000.0
"LG 24"" IPS HDMI Monitor",LG,24.0,60.0,HD,IPS,0,0,0,Used,Gampaha,14500.0
"Asus VY279HGR 27"" Inch Full HD IPS Level 120Hz Adaptive Sync Monitor",Asus,27.0,120.0,1080p FHD,IPS,0,1,0,Brand New,Colombo,46000.0
"Acer EK271 27"" Inch 144Hz IPS HDMI Frameless Gaming Monitor",Acer,27.0,144.0,1080p FHD,IPS,0,1,1,Brand New,Colombo,37000.0
"MONITOR 24"" 120HZ IPS FHD FRAMELESS (NEW) ASUS",Asus,24.0,120.0,1080p FHD,IPS,0,1,1,Brand New,Gampaha,33950.0
"MONITOR 24"" IPS (1980 x 1080P) FHD|FRAMELESS|HDMI",Other,24.0,60.0,1080p FHD,IPS,0,0,1,Used,Gampaha,21150.0
"Acer 27"" Full HD Nitro Gaming Monitor - KG273 W3 240Hz Brand New",Acer,27.0,240.0,1080p FHD,Standard,0,1,0,Brand New,Colombo,48500.0
"Emark 24"" EW2427SH 144Hz IPS Full HD Frameless Gaming Monitor",Other,24.0,144.0,1080p FHD,IPS,0,1,1,Brand New,Colombo,29990.0
