title,Brand_Cleaned,Model_Cleaned,CPU_Cleaned,Generation_Cleaned,RAM_GB,Storage_Capacity_GB,Storage_Type,GPU_Tier,Is_Touchscreen,Condition_Cleaned,Location_Cleaned,Price_Cleaned
Dell Inspiron Core i3 10th Gen 4GB Ram 1TB HDD,Dell,Inspiron,Core i3,10,4.0,1024.0,HDD,Integrated,0,Used,Matara,34990.0
Dell Vostro Core i3 10th Gen 8GB Ram 512GB NVMe SSD,Dell,Vostro,Core i3,10,8.0,512.0,SSD,Integrated,0,Used,Matara,69990.0
Ryzen 5 PRO Lenovo ThinkPad A285 16GB Ram 256GB NVMe Laptop...,Lenovo,Thinkpad,Ryzen 5,8,16.0,256.0,SSD,Integrated,0,Used,Colombo,59000.0
Dell Vostro 15 3000 – i5 11th Gen 16GB Ram 1.25TB Storage,Dell,Vostro,Core i5,11,16.0,256.0,SSD,Integrated,0,Used,Matara,130000.0
"Lenovo ThinkPad T480s INTEL CORE I5 8th Gen 16GB DDR4 RAM 256GB NVME 14""",Lenovo,Thinkpad,Core i5,8,8.0,256.0,SSD,Integrated,0,Used,Colombo,75000.0
Dell i7 8th Gen Latitude 7390 256GB SSD NVME,Dell,Latitude,Core i7,8,16.0,256.0,SSD,Integrated,0,Used,Colombo,82500.0
Lenovo Thinkpad X13 Ryzen 5 Pro 4650u Touch FHD IPS screen,Lenovo,Thinkpad,Ryzen 5,8,8.0,256.0,SSD,Integrated,1,Used,Colombo,89500.0
HP i3 10th Gen Laptop,Hp,Standard / Other,Core i3,10,8.0,256.0,SSD,Integrated,0,Used,Colombo,50000.0
Lenovo Laptop,Lenovo,Standard / Other,Other / Dual Core,8,4.0,256.0,SSD,Integrated,0,Used,Colombo,80000.0
Asus Expertbook P1403CVA,Asus,Expertbook,Other / Dual Core,8,4.0,256.0,SSD,Integrated,0,Used,Gampaha,145000.0
Apple MacBook Air M1 2020,Apple,Macbook Air,Apple M1,12,16.0,512.0,SSD,Integrated,0,Used,Anuradhapura,130000.0
Dell Latitude E5470,Dell,Latitude,Other / Dual Core,8,4.0,256.0,SSD,Integrated,0,Used,Kurunegala,48000.0
Asus Tuf Ryzen 7 16/512gb RTX4050 FA607NUQ,Asus,Tuf,Ryzen 7,8,16.0,256.0,SSD,RTX 40-Series,0,Used,Colombo,319000.0
I7 8th 16RAM 512SSD,Other,Standard / Other,Core i7,8,16.0,512.0,SSD,Integrated,0,Used,Colombo,85000.0
Ryzen 5 pro 3500u EliteBook 735 G6 with 2GB VGA dedicated FHD 13.3 inch,Other,Standard / Other,Ryzen 5,8,8.0,256.0,SSD,Other Dedicated,0,Used,Colombo,87500.0
11th Gen i3,Other,Standard / Other,Core i3,11,8.0,256.0,SSD,Integrated,0,Used,Colombo,78000.0
Aspire Nvidia 2GB VGA 20GB 512GB NVME i5 10th Gen laptop,Other,Standard / Other,Core i5,10,8.0,512.0,SSD,Other Dedicated,0,Used,Colombo,115000.0
Dell Latitude I7 8th Gen Laptop|8GB Ram DDR4|256GB Nvme|FHD Display,Dell,Latitude,Core i7,8,8.0,256.0,SSD,Integrated,0,Used,Gampaha,83000.0
Dell Inspiron 5593,Dell,Inspiron,Other / Dual Core,8,4.0,256.0,SSD,Integrated,0,Used,Kandy,90000.0
Dell Latitude 3420 Core i5 1135G7–11th Gen 8GB RAM 256GB SSD,Dell,Latitude,Core i5,11,8.0,256.0,SSD,Integrated,0,Used,Ratnapura,97990.0
ZBook Firefly 14 G8 i5 11th Gen 16GB Xe Graphics Backlit keyboard,Other,Standard / Other,Core i5,11,8.0,256.0,SSD,Other Dedicated,0,Used,Colombo,125000.0
Apple MacBook Air M4 16GB 256GB Midnight,Apple,Macbook Air,Apple M4,15,16.0,512.0,SSD,Integrated,0,Used,Colombo,320000.0
HP Elitebook 840 G5 Core i7 8650U–8th Gen 16GB RAM 512GB SSD,Hp,Elitebook,Core i7,8,16.0,512.0,SSD,Integrated,0,Used,Ratnapura,97990.0
Asus TUF F17 Gaming Laptop – RTX 3050,Asus,Tuf,Other / Dual Core,8,4.0,256.0,SSD,RTX 30-Series,0,Used,Colombo,205000.0
Dell Latitude 5520 - i5 11th Gen +8GB RAM /256GB NVME-15.6 Inch Laptop,Dell,Latitude,Core i5,11,8.0,256.0,SSD,Integrated,0,Used,Colombo,109000.0
"Dell Latitude 5540 -CORE I5 13TH GEN-15.6 INCH-8GB RAM ,256GB SSD LAPTOP",Dell,Latitude,Core i5,13,8.0,256.0,SSD,Integrated,0,Used,Colombo,152000.0
"Dell Latitude 3420 - i5 11TH GEN -256GB NVME 8GB RAM /14 Inch ,Laptop",Dell,Latitude,Core i5,11,8.0,256.0,SSD,Integrated,0,Used,Colombo,89000.0
ACER Core i3 1305U–13th Gen 15.6′ FullHD 8GB RAM 512GB NVMe,Acer,Standard / Other,Core i3,13,8.0,512.0,SSD,Integrated,0,Used,Ratnapura,97990.0
"Dell Latitude 5320 -CORE i5 11TH GEN+16GB RAM /256GB NVME , Laptop,",Dell,Latitude,Core i5,11,16.0,256.0,SSD,Integrated,0,Used,Colombo,103000.0
Dell Latitude 5410 Core i7 10610U–10th Gen 8GB RAM 256GB NVMe,Dell,Latitude,Core i7,10,8.0,256.0,SSD,Integrated,0,Used,Ratnapura,97990.0
"Dell Latitude 5430 - I5 12TH GEN 8GB RAM- 256GB SSD -14 Inch /Laptop,",Dell,Latitude,Core i5,12,8.0,256.0,SSD,Integrated,0,Used,Colombo,112000.0
Dell Core i7 8565U–8th Gen NVIDA MX130 2GB VGA 8GB RAM 256GB SSD,Dell,Standard / Other,Core i7,8,8.0,256.0,SSD,Integrated,0,Used,Ratnapura,97990.0
"Dell Latitude 5530 - I5 12TH GEN +8GB RAM /256GB SSD -15 Inch -Laptop,",Dell,Latitude,Core i5,12,8.0,256.0,SSD,Integrated,0,Used,Colombo,128000.0
ASUS Core i7 7500U–7th Gen NVIDIA 940MX 2GB VGA 8GB RAM 512GB SSD,Asus,Standard / Other,Core i7,7,8.0,512.0,SSD,Other Dedicated,0,Used,Ratnapura,97990.0
Asus VivoBook i7 11th Gen 16GB 512GB SSD MX350,Asus,Vivobook,Core i7,11,16.0,512.0,SSD,Integrated,0,Used,Gampaha,159000.0
"Dell Latitude 5480 -Core i5 6th Gen 8GB RAM /256GB SSD +14 Inch Laptop,",Dell,Latitude,Core i5,6,8.0,256.0,SSD,Integrated,0,Used,Colombo,60000.0
HP 440 G8 i5 11th Gen 8GB Ram 512GB Nvme Laptop,Hp,Standard / Other,Core i5,11,8.0,512.0,SSD,Integrated,0,Used,Gampaha,110000.0
10 Th Gen,Other,Standard / Other,Other / Dual Core,8,4.0,256.0,SSD,Integrated,0,Used,Galle,65000.0
