id,title,price_raw,price,condition,location,description,slug,link,shop_name,is_member,timestamp
6a811bbb1e7641a9aedb56c6,Samsung Galaxy S23 FE 5G/8/256GB (Used),"Rs 87,000",87000,Used,Gampaha,"Gampaha, Mobile Phones",samsung-galaxy-s23-fe-5g-8-256gb-used-for-sale-gampaha-27,https://ikman.lk/en/ad/samsung-galaxy-s23-fe-5g-8-256gb-used-for-sale-gampaha-27,GL Smart Mobile,True,16 days
6a811b60b077c590b9db56be,Samsung Galaxy S23 FE 5G/8/256GB (Used),"Rs 87,000",87000,Used,Gampaha,"Gampaha, Mobile Phones",samsung-galaxy-s23-fe-5g-8-256gb-used-for-sale-gampaha-28,https://ikman.lk/en/ad/samsung-galaxy-s23-fe-5g-8-256gb-used-for-sale-gampaha-28,GL Smart Mobile,True,16 days
6a811b17f9fb3585dd8d1fd4,Samsung Galaxy S23 FE 5G/8/256GB (Used),"Rs 87,000",87000,Used,Gampaha,"Gampaha, Mobile Phones",samsung-galaxy-s23-fe-5g-8-256gb-used-for-sale-gampaha-29,https://ikman.lk/en/ad/samsung-galaxy-s23-fe-5g-8-256gb-used-for-sale-gampaha-29,GL Smart Mobile,True,16 days
6a8113c52617f9c8a8db56aa,Xiaomi Redmi Note 14 Pro Plus (Used),"Rs 92,000",92000,Used,Colombo,"Colombo, Mobile Phones",xiaomi-redmi-note-14-pro-plus-used-for-sale-colombo-52,https://ikman.lk/en/ad/xiaomi-redmi-note-14-pro-plus-used-for-sale-colombo-52,,False,16 days
6a810c22e9732a14b23500a8,Vivo V60 256gb (Used),"Rs 95,000",95000,Used,Badulla,"Badulla, Mobile Phones",vivo-v60-256gb-used-for-sale-badulla,https://ikman.lk/en/ad/vivo-v60-256gb-used-for-sale-badulla,,False,16 days
6a80d801bf6ee73fd2ba8c17,Apple iPhone 12 128GB (Used),"Rs 85,000",85000,Used,Kurunegala,"Kurunegala, Mobile Phones",apple-iphone-12-128gb-used-for-sale-kurunegala-734,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-kurunegala-734,iStation.lk,True,16 days
6a809ac45f5defd337e2029c,Samsung Galaxy S24 FE (Used),"Rs 100,000",100000,Used,Ampara,"Ampara, Mobile Phones",samsung-galaxy-s24-fe-used-for-sale-ampara,https://ikman.lk/en/ad/samsung-galaxy-s24-fe-used-for-sale-ampara,,False,17 days
6a8097ee541eec1d8a4ba69f,Samsung Galaxy A55 (Used),"Rs 90,000",90000,Used,Gampaha,"Gampaha, Mobile Phones",samsung-galaxy-a55-5g-used-for-sale-gampaha-24,https://ikman.lk/en/ad/samsung-galaxy-a55-5g-used-for-sale-gampaha-24,,False,17 days
6a80a3a0dc2a8b879278f78d,Apple iPhone 13 128GB (Used),"Rs 93,000",93000,Used,Matara,"Matara, Mobile Phones",apple-iphone-13-128gb-used-for-sale-matara-591,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-matara-591,SKY MOBILE,True,17 days
6a80a205468528b423484f8f,Samsung Galaxy S22 8GB-256GB (Used),"Rs 75,000",75000,Used,Matara,"Matara, Mobile Phones",samsung-galaxy-s22-8gb-256gb-used-for-sale-matara-134,https://ikman.lk/en/ad/samsung-galaxy-s22-8gb-256gb-used-for-sale-matara-134,SKY MOBILE,True,17 days
6a80a1bf3b53de166df22b12,Apple iPhone 12 128GB (Used),"Rs 88,000",88000,Used,Matara,"Matara, Mobile Phones",apple-iphone-12-128gb-used-for-sale-matara-598,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-matara-598,Kumaru Mobile Apple Shop,True,17 days
6a809e8316807f5a9d75ed42,Apple iPhone 13 mini 128GB (Used),"Rs 79,000",79000,Used,Matara,"Matara, Mobile Phones",apple-iphone-13-mini-128gb-used-for-sale-matara-149,https://ikman.lk/en/ad/apple-iphone-13-mini-128gb-used-for-sale-matara-149,SKY MOBILE,True,17 days
6a809cbf67fe23ca63484f6c,Samsung Galaxy S23 8GB-256GB (Used),"Rs 98,000",98000,Used,Matara,"Matara, Mobile Phones",samsung-galaxy-s23-8gb-256gb-used-for-sale-matara-45,https://ikman.lk/en/ad/samsung-galaxy-s23-8gb-256gb-used-for-sale-matara-45,SKY MOBILE,True,17 days
68e0084c8941993c24927a0c,Apple iPhone 12 128GB (Used),"Rs 86,000",86000,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-12-128gb-used-for-sale-kandy-866,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-kandy-866,Techflix.lk Kandy,True,17 days
6a807d2599451ab43ea462e0,Xiaomi Redmi Note 14 Pro Plus 5G | 12GB RAM-512GB (Used),"Rs 89,999",89999,Used,Colombo,"Colombo, Mobile Phones",xiaomi-redmi-note-14-pro-plus-5g-12gb-ram-512gb-used-for-sale-colombo-1,https://ikman.lk/en/ad/xiaomi-redmi-note-14-pro-plus-5g-12gb-ram-512gb-used-for-sale-colombo-1,Usedphones International Pvt Ltd 2,True,17 days
6a80725599451ab43ea4629c,Apple iPhone 12 Pro (Used),"Rs 94,000",94000,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-12-pro-used-for-sale-kandy-1524,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-kandy-1524,Click Zone Mobile,True,17 days
6a806e8af185cb6e78b609a3,Moto Edge 70 (Used),"Rs 100,000",100000,Used,Trincomalee,"Trincomalee, Mobile Phones",moto-edge-70-brand-new-for-sale-trincomalee,https://ikman.lk/en/ad/moto-edge-70-brand-new-for-sale-trincomalee,,False,17 days
6a80689b238ea998ba4ba5b5,Apple iPhone 12 128GB (Used),"Rs 89,000",89000,Used,Galle,"Galle, Mobile Phones",apple-iphone-12-128gb-used-for-sale-galle-445,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-galle-445,Street Mobile Galle,True,17 days
6a80688cce5bfcaed44ba57d,Apple iPhone 13 128GB (Used),"Rs 96,000",96000,Used,Kandy,"Kandy, Mobile Phones",apple-iphone-13-128gb-used-for-sale-kandy-1376,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-kandy-1376,Click Zone Mobile,True,17 days
6a8065e812d88d1ca2a4625e,Samsung Galaxy S22 5G/256GB (Used),"Rs 78,000",78000,Used,Gampaha,"Gampaha, Mobile Phones",samsung-galaxy-s22-5g-256gb-used-for-sale-gampaha-71,https://ikman.lk/en/ad/samsung-galaxy-s22-5g-256gb-used-for-sale-gampaha-71,GL Smart Mobile,True,17 days
